Pixels, Value
0, 24128
0,1, 24128
0,2, 24128
0,3, 24128
0,4, 24128
0,5, 24128
0,6, 24128
0,7, 24128
0,8, 24128
0,9, 24128
1, 24960
1,1, 24960
1,2, 24960
1,3, 24960
1,4, 24960
1,5, 24960
1,6, 24960
1,7, 24960
1,8, 24960
1,9, 24960
2, 24768
2,1, 24768
2,2, 24768
2,3, 24768
2,4, 24768
2,5, 24768
2,6, 24768
2,7, 24768
2,8, 24768
2,9, 24768
3, 25536
3,1, 25536
3,2, 25536
3,3, 25536
3,4, 25536
3,5, 25536
3,6, 25536
3,7, 25536
3,8, 25536
3,9, 25536
4, 24640
4,1, 24640
4,2, 24640
4,3, 24640
4,4, 24640
4,5, 24640
4,6, 24640
4,7, 24640
4,8, 24640
4,9, 24640
5, 25088
5,1, 25088
5,2, 25088
5,3, 25088
5,4, 25088
5,5, 25088
5,6, 25088
5,7, 25088
5,8, 25088
5,9, 25088
6, 24640
6,1, 24640
6,2, 24640
6,3, 24640
6,4, 24640
6,5, 24640
6,6, 24640
6,7, 24640
6,8, 24640
6,9, 24640
7, 24960
7,1, 24960
7,2, 24960
7,3, 24960
7,4, 24960
7,5, 24960
7,6, 24960
7,7, 24960
7,8, 24960
7,9, 24960
8, 24320
8,1, 24320
8,2, 24320
8,3, 24320
8,4, 24320
8,5, 24320
8,6, 24320
8,7, 24320
8,8, 24320
8,9, 24320
9, 24448
9,1, 24448
9,2, 24448
9,3, 24448
9,4, 24448
9,5, 24448
9,6, 24448
9,7, 24448
9,8, 24448
9,9, 24448
10, 22336
10,1, 22336
10,2, 22336
10,3, 22336
10,4, 22336
10,5, 22336
10,6, 22336
10,7, 22336
10,8, 22336
10,9, 22336
11, 17280
11,1, 17280
11,2, 17280
11,3, 17280
11,4, 17280
11,5, 17280
11,6, 17280
11,7, 17280
11,8, 17280
11,9, 17280
12, 14144
12,1, 14144
12,2, 14144
12,3, 14144
12,4, 14144
12,5, 14144
12,6, 14144
12,7, 14144
12,8, 14144
12,9, 14144
13, 11520
13,1, 11520
13,2, 11520
13,3, 11520
13,4, 11520
13,5, 11520
13,6, 11520
13,7, 11520
13,8, 11520
13,9, 11520
14, 10048
14,1, 10048
14,2, 10048
14,3, 10048
14,4, 10048
14,5, 10048
14,6, 10048
14,7, 10048
14,8, 10048
14,9, 10048
15, 9472
15,1, 9472
15,2, 9472
15,3, 9472
15,4, 9472
15,5, 9472
15,6, 9472
15,7, 9472
15,8, 9472
15,9, 9472
16, 11264
16,1, 11264
16,2, 11264
16,3, 11264
16,4, 11264
16,5, 11264
16,6, 11264
16,7, 11264
16,8, 11264
16,9, 11264
17, 11968
17,1, 11968
17,2, 11968
17,3, 11968
17,4, 11968
17,5, 11968
17,6, 11968
17,7, 11968
17,8, 11968
17,9, 11968
18, 14528
18,1, 14528
18,2, 14528
18,3, 14528
18,4, 14528
18,5, 14528
18,6, 14528
18,7, 14528
18,8, 14528
18,9, 14528
19, 15872
19,1, 15872
19,2, 15872
19,3, 15872
19,4, 15872
19,5, 15872
19,6, 15872
19,7, 15872
19,8, 15872
19,9, 15872
20, 16384
20,1, 16384
20,2, 16384
20,3, 16384
20,4, 16384
20,5, 16384
20,6, 16384
20,7, 16384
20,8, 16384
20,9, 16384
21, 17408
21,1, 17408
21,2, 17408
21,3, 17408
21,4, 17408
21,5, 17408
21,6, 17408
21,7, 17408
21,8, 17408
21,9, 17408
22, 19584
22,1, 19584
22,2, 19584
22,3, 19584
22,4, 19584
22,5, 19584
22,6, 19584
22,7, 19584
22,8, 19584
22,9, 19584
23, 21312
23,1, 21312
23,2, 21312
23,3, 21312
23,4, 21312
23,5, 21312
23,6, 21312
23,7, 21312
23,8, 21312
23,9, 21312
24, 22336
24,1, 22336
24,2, 22336
24,3, 22336
24,4, 22336
24,5, 22336
24,6, 22336
24,7, 22336
24,8, 22336
24,9, 22336
25, 21760
25,1, 21760
25,2, 21760
25,3, 21760
25,4, 21760
25,5, 21760
25,6, 21760
25,7, 21760
25,8, 21760
25,9, 21760
26, 15104
26,1, 15104
26,2, 15104
26,3, 15104
26,4, 15104
26,5, 15104
26,6, 15104
26,7, 15104
26,8, 15104
26,9, 15104
27, 9664
27,1, 9664
27,2, 9664
27,3, 9664
27,4, 9664
27,5, 9664
27,6, 9664
27,7, 9664
27,8, 9664
27,9, 9664
28, 8384
28,1, 8384
28,2, 8384
28,3, 8384
28,4, 8384
28,5, 8384
28,6, 8384
28,7, 8384
28,8, 8384
28,9, 8384
29, 7936
29,1, 7936
29,2, 7936
29,3, 7936
29,4, 7936
29,5, 7936
29,6, 7936
29,7, 7936
29,8, 7936
29,9, 7936
30, 7616
30,1, 7616
30,2, 7616
30,3, 7616
30,4, 7616
30,5, 7616
30,6, 7616
30,7, 7616
30,8, 7616
30,9, 7616
31, 8000
31,1, 8000
31,2, 8000
31,3, 8000
31,4, 8000
31,5, 8000
31,6, 8000
31,7, 8000
31,8, 8000
31,9, 8000
32, 8960
32,1, 8960
32,2, 8960
32,3, 8960
32,4, 8960
32,5, 8960
32,6, 8960
32,7, 8960
32,8, 8960
32,9, 8960
33, 15488
33,1, 15488
33,2, 15488
33,3, 15488
33,4, 15488
33,5, 15488
33,6, 15488
33,7, 15488
33,8, 15488
33,9, 15488
34, 21568
34,1, 21568
34,2, 21568
34,3, 21568
34,4, 21568
34,5, 21568
34,6, 21568
34,7, 21568
34,8, 21568
34,9, 21568
35, 23488
35,1, 23488
35,2, 23488
35,3, 23488
35,4, 23488
35,5, 23488
35,6, 23488
35,7, 23488
35,8, 23488
35,9, 23488
36, 23936
36,1, 23936
36,2, 23936
36,3, 23936
36,4, 23936
36,5, 23936
36,6, 23936
36,7, 23936
36,8, 23936
36,9, 23936
37, 24000
37,1, 24000
37,2, 24000
37,3, 24000
37,4, 24000
37,5, 24384
37,6, 24384
37,7, 24384
37,8, 24384
37,9, 24384
38, 23168
38,1, 23168
38,2, 23168
38,3, 23168
38,4, 23168
38,5, 23168
38,6, 23168
38,7, 23168
38,8, 23168
38,9, 23168
39, 21056
39,1, 21056
39,2, 21056
39,3, 21056
39,4, 21056
39,5, 21056
39,6, 21056
39,7, 21056
39,8, 21056
39,9, 21056
40, 18560
40,1, 18560
40,2, 18560
40,3, 18560
40,4, 18560
40,5, 18560
40,6, 18560
40,7, 18560
40,8, 18560
40,9, 18560
41, 12608
41,1, 12608
41,2, 12608
41,3, 12608
41,4, 12608
41,5, 12608
41,6, 12608
41,7, 12608
41,8, 12608
41,9, 12608
42, 9344
42,1, 9344
42,2, 9344
42,3, 9344
42,4, 9344
42,5, 9344
42,6, 9344
42,7, 9344
42,8, 9344
42,9, 9344
43, 9088
43,1, 9088
43,2, 9088
43,3, 9088
43,4, 9088
43,5, 9088
43,6, 9088
43,7, 9088
43,8, 9088
43,9, 9088
44, 8384
44,1, 8384
44,2, 8384
44,3, 8384
44,4, 8384
44,5, 8384
44,6, 8384
44,7, 8384
44,8, 8384
44,9, 8384
45, 8448
45,1, 8448
45,2, 8448
45,3, 8448
45,4, 8448
45,5, 8448
45,6, 8448
45,7, 8448
45,8, 8448
45,9, 8448
46, 8896
46,1, 8896
46,2, 8896
46,3, 8896
46,4, 8896
46,5, 8896
46,6, 8896
46,7, 8896
46,8, 8896
46,9, 8896
47, 12928
47,1, 12928
47,2, 12928
47,3, 12928
47,4, 12928
47,5, 12928
47,6, 12928
47,7, 12928
47,8, 12928
47,9, 12928
48, 20096
48,1, 20096
48,2, 20096
48,3, 20096
48,4, 20096
48,5, 20096
48,6, 20096
48,7, 20096
48,8, 20096
48,9, 20096
49, 22912
49,1, 22912
49,2, 22912
49,3, 22912
49,4, 22912
49,5, 22912
49,6, 22912
49,7, 22912
49,8, 22912
49,9, 22912
50, 24128
50,1, 24128
50,2, 24128
50,3, 24128
50,4, 24128
50,5, 24128
50,6, 24128
50,7, 24128
50,8, 24128
50,9, 24128
51, 24640
51,1, 24640
51,2, 24640
51,3, 24640
51,4, 24640
51,5, 24640
51,6, 24640
51,7, 24640
51,8, 24640
51,9, 24640
52, 25088
52,1, 25088
52,2, 25088
52,3, 25088
52,4, 25088
52,5, 25088
52,6, 25088
52,7, 25088
52,8, 25088
52,9, 25088
53, 25984
53,1, 25984
53,2, 25984
53,3, 25984
53,4, 25984
53,5, 25984
53,6, 25984
53,7, 25984
53,8, 25984
53,9, 25984
54, 25344
54,1, 25344
54,2, 25344
54,3, 25344
54,4, 25344
54,5, 25344
54,6, 25344
54,7, 25344
54,8, 25344
54,9, 25344
55, 25792
55,1, 25792
55,2, 25792
55,3, 25792
55,4, 25792
55,5, 25792
55,6, 25792
55,7, 25792
55,8, 25792
55,9, 25792
56, 26304
56,1, 26304
56,2, 26304
56,3, 26304
56,4, 26304
56,5, 26304
56,6, 26304
56,7, 26304
56,8, 26304
56,9, 26304
57, 25664
57,1, 25664
57,2, 25664
57,3, 25664
57,4, 25664
57,5, 25664
57,6, 25664
57,7, 25664
57,8, 25664
57,9, 25664
58, 26368
58,1, 26368
58,2, 26368
58,3, 26368
58,4, 26368
58,5, 26368
58,6, 26368
58,7, 26368
58,8, 26368
58,9, 26368
59, 26560
59,1, 26560
59,2, 26560
59,3, 26560
59,4, 26560
59,5, 26560
59,6, 26560
59,7, 26560
59,8, 26560
59,9, 26560
60, 25920
60,1, 25920
60,2, 25920
60,3, 25920
60,4, 25920
60,5, 25920
60,6, 25920
60,7, 25920
60,8, 25920
60,9, 25920
61, 26048
61,1, 26048
61,2, 26048
61,3, 26048
61,4, 26048
61,5, 26048
61,6, 26048
61,7, 26048
61,8, 26048
61,9, 26048
62, 25280
62,1, 25280
62,2, 25280
62,3, 25280
62,4, 25280
62,5, 25280
62,6, 25280
62,7, 25280
62,8, 25280
62,9, 25280
63, 26048
63,1, 26048
63,2, 26048
63,3, 26048
63,4, 26048
63,5, 26048
63,6, 26048
63,7, 26048
63,8, 26048
63,9, 26048
64, 25984
64,1, 25984
64,2, 25984
64,3, 25984
64,4, 25984
64,5, 25984
64,6, 25984
64,7, 25984
64,8, 25984
64,9, 25984
65, 25856
65,1, 25856
65,2, 25856
65,3, 25856
65,4, 25856
65,5, 25856
65,6, 25856
65,7, 25856
65,8, 25856
65,9, 25856
66, 25664
66,1, 25664
66,2, 25664
66,3, 25664
66,4, 25664
66,5, 25664
66,6, 25664
66,7, 25664
66,8, 25664
66,9, 25664
67, 26240
67,1, 26240
67,2, 26240
67,3, 26240
67,4, 26240
67,5, 26240
67,6, 26240
67,7, 26240
67,8, 26240
67,9, 26240
68, 26304
68,1, 26304
68,2, 26304
68,3, 26304
68,4, 26304
68,5, 26304
68,6, 26304
68,7, 26304
68,8, 26304
68,9, 26304
69, 26432
69,1, 26432
69,2, 26432
69,3, 26432
69,4, 26432
69,5, 26432
69,6, 26432
69,7, 26432
69,8, 26432
69,9, 26432
70, 26048
70,1, 26048
70,2, 26048
70,3, 26048
70,4, 26048
70,5, 26048
70,6, 26048
70,7, 26048
70,8, 26048
70,9, 26048
71, 25984
71,1, 25984
71,2, 25984
71,3, 25984
71,4, 25984
71,5, 25984
71,6, 25984
71,7, 25984
71,8, 25984
71,9, 25984
72, 25792
72,1, 25792
72,2, 25792
72,3, 25792
72,4, 25792
72,5, 25792
72,6, 25792
72,7, 25792
72,8, 25792
72,9, 25792
73, 26816
73,1, 26816
73,2, 26816
73,3, 26816
73,4, 26816
73,5, 26816
73,6, 26816
73,7, 26816
73,8, 26816
73,9, 26816
74, 26496
74,1, 26496
74,2, 26496
74,3, 26496
74,4, 26496
74,5, 26496
