Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 0
3,8, 0
3,9, 0
4, 0
4,1, 0
4,2, 0
4,3, 0
4,4, 0
4,5, 0
4,6, 0
4,7, 0
4,8, 0
4,9, 0
5, 0
5,1, 0
5,2, 0
5,3, 0
5,4, 0
5,5, 0
5,6, 1,23072433282412
5,7, 1,23072433282412
5,8, 1,23072433282412
5,9, 1,23072433282412
6, 1,23072433282412
6,1, 1,23072433282412
6,2, 1,23072433282412
6,3, 1,23072433282412
6,4, 1,23072433282412
6,5, 1,23072433282412
6,6, 2,1470237564307
6,7, 2,1470237564307
6,8, 2,1470237564307
6,9, 2,1470237564307
7, 2,1470237564307
7,1, 2,1470237564307
7,2, 2,1470237564307
7,3, 2,1470237564307
7,4, 2,1470237564307
7,5, 2,1470237564307
7,6, 2,45896158087804
7,7, 2,45896158087804
7,8, 2,45896158087804
7,9, 2,45896158087804
8, 2,45896158087804
8,1, 2,45896158087804
8,2, 2,45896158087804
8,3, 2,45896158087804
8,4, 2,45896158087804
8,5, 2,45896158087804
8,6, 1,90730704742578
8,7, 1,90730704742578
8,8, 1,90730704742578
8,9, 1,90730704742578
9, 1,90730704742578
9,1, 1,90730704742578
9,2, 1,90730704742578
9,3, 1,90730704742578
9,4, 1,90730704742578
9,5, 1,90730704742578
9,6, 0,0612205481896034
9,7, 0,0612205481896034
9,8, 0,0612205481896034
9,9, 0,0612205481896034
10, 0,0612205481896034
10,1, 0,0612205481896034
10,2, 0,0612205481896034
10,3, 0,0612205481896034
10,4, 0,0612205481896034
10,5, 0,0612205481896034
10,6, 0,0237229624234713
10,7, 0,0237229624234713
10,8, 0,0237229624234713
10,9, 0,0237229624234713
11, 0,0237229624234713
11,1, 0,0237229624234713
11,2, 0,0237229624234713
11,3, 0,0237229624234713
11,4, 0,0237229624234713
11,5, 0,0237229624234713
11,6, 0
11,7, 0
11,8, 0
11,9, 0
12, 0
12,1, 0
12,2, 0
12,3, 0
12,4, 0
12,5, 0
12,6, 0
12,7, 0
12,8, 0
12,9, 0
13, 0
13,1, 0
13,2, 0
13,3, 0
13,4, 0
13,5, 0
13,6, 0,337860900321374
13,7, 0,337860900321374
13,8, 0,337860900321374
13,9, 0,337860900321374
14, 0,337860900321374
14,1, 0,337860900321374
14,2, 0,337860900321374
14,3, 0,337860900321374
14,4, 0,337860900321374
14,5, 0,337860900321374
