Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 0
3,8, 0
3,9, 0
4, 0
4,1, 0
4,2, 0
4,3, 0
4,4, 0
4,5, 0
4,6, 0
4,7, 0
4,8, 0
4,9, 0
5, 0
5,1, 0
5,2, 0
5,3, 0
5,4, 0
5,5, 0
5,6, 0,195714439993638
5,7, 0,195714439993638
5,8, 0,195714439993638
5,9, 0,195714439993638
6, 0,195714439993638
6,1, 0,195714439993638
6,2, 0,195714439993638
6,3, 0,195714439993638
6,4, 0,195714439993638
6,5, 0,195714439993638
6,6, 0,73082029401339
6,7, 0,73082029401339
6,8, 0,73082029401339
6,9, 0,73082029401339
7, 0,73082029401339
7,1, 0,73082029401339
7,2, 0,73082029401339
7,3, 0,73082029401339
7,4, 0,73082029401339
7,5, 1,04036669079707
7,6, 1,84666044187546
7,7, 1,84666044187546
7,8, 1,84666044187546
7,9, 1,84666044187546
8, 1,84666044187546
8,1, 1,84666044187546
8,2, 1,84666044187546
8,3, 1,84666044187546
8,4, 1,84666044187546
8,5, 1,84666044187546
8,6, 2,20087870741624
8,7, 2,20087870741624
8,8, 2,20087870741624
8,9, 2,20087870741624
9, 2,20087870741624
9,1, 2,20087870741624
9,2, 2,20087870741624
9,3, 2,20087870741624
9,4, 2,20087870741624
9,5, 2,20087870741624
9,6, 1,83795564517975
9,7, 1,83795564517975
9,8, 1,83795564517975
9,9, 1,83795564517975
10, 1,83795564517975
10,1, 1,83795564517975
10,2, 1,83795564517975
10,3, 1,83795564517975
10,4, 1,83795564517975
10,5, 1,83795564517975
10,6, 0,914768909901839
10,7, 0,914768909901839
10,8, 0,914768909901839
10,9, 0,914768909901839
11, 0,914768909901839
11,1, 0,914768909901839
11,2, 0,912760110664368
11,3, 0,912760110664368
11,4, 0,912760110664368
11,5, 0,912760110664368
11,6, 0,212932719171964
11,7, 0,212932719171964
11,8, 0,212932719171964
11,9, 0,212932719171964
12, 0,212932719171964
12,1, 0,212932719171964
12,2, 0,212932719171964
12,3, 0,212932719171964
12,4, 0,212932719171964
12,5, 0,212932719171964
12,6, 0,0574899210342994
12,7, 0,0574899210342994
12,8, 0,0574899210342994
12,9, 0,0574899210342994
13, 0,0574899210342994
13,1, 0,0574899210342994
13,2, 0,0574899210342994
13,3, 0,0574899210342994
13,4, 0,0574899210342994
13,5, 0,0574899210342994
13,6, 0,113831956790044
13,7, 0,113831956790044
13,8, 0,113831956790044
13,9, 0,113831956790044
14, 0,113831956790044
14,1, 0,113831956790044
14,2, 0,113831956790044
14,3, 0,113831956790044
14,4, 0,113831956790044
14,5, 0,113831956790044
14,6, 0,614405595346598
14,7, 0,614405595346598
14,8, 0,614405595346598
14,9, 0,614405595346598
15, 0,614405595346598
15,1, 0,614405595346598
15,2, 0,614405595346598
15,3, 0,614405595346598
15,4, 0,614405595346598
15,5, 0,614405595346598
15,6, 1,38989775811709
15,7, 1,38989775811709
15,8, 1,38989775811709
15,9, 1,38989775811709
16, 1,38989775811709
16,1, 1,38989775811709
16,2, 1,38989775811709
16,3, 1,38989775811709
16,4, 1,38989775811709
16,5, 1,38989775811709
16,6, 1,88750602637071
16,7, 1,88750602637071
16,8, 1,88750602637071
16,9, 1,88750602637071
17, 1,88750602637071
17,1, 1,88750602637071
17,2, 1,88750602637071
17,3, 1,88750602637071
17,4, 1,88750602637071
17,5, 1,88750602637071
17,6, 1,72785431554501
17,7, 1,72785431554501
17,8, 1,72785431554501
17,9, 1,72785431554501
18, 1,72785431554501
18,1, 1,72785431554501
18,2, 1,72785431554501
18,3, 1,72785431554501
18,4, 1,72785431554501
18,5, 1,72785431554501
18,6, 1,02047001263545
18,7, 1,02047001263545
18,8, 1,02047001263545
18,9, 1,02047001263545
19, 1,02047001263545
19,1, 1,02047001263545
19,2, 1,02047001263545
19,3, 1,02047001263545
19,4, 1,02047001263545
19,5, 1,02047001263545
19,6, 0,264109271174211
19,7, 0,264109271174211
19,8, 0,264109271174211
19,9, 0,264109271174211
