Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 1,68038400024267
3,8, 1,68038400024267
3,9, 1,68038400024267
4, 1,68038400024267
4,1, 1,68038400024267
4,2, 1,68038400024267
4,3, 1,68038400024267
4,4, 1,68038400024267
4,5, 1,68038400024267
4,6, 1,68038400024267
4,7, 3,0008611355048
4,8, 3,51295402021408
4,9, 3,51295402021408
5, 3,51295402021408
5,1, 3,51295402021408
5,2, 3,51295402021408
5,3, 3,51295402021408
5,4, 3,51295402021408
5,5, 3,51295402021408
5,6, 3,51295402021408
5,7, 3,51295402021408
5,8, 3,51295402021408
5,9, 2,60482890613262
6, 2,60482890613262
6,1, 2,60482890613262
6,2, 2,60482890613262
6,3, 2,60482890613262
6,4, 2,60482890613262
6,5, 2,60482890613262
6,6, 2,60482890613262
6,7, 2,60482890613262
6,8, 2,60482890613262
6,9, 0,753800092513745
7, 0,753800092513745
7,1, 0,753800092513745
7,2, 0,753800092513745
7,3, 0,753800092513745
7,4, 0,753800092513745
7,5, 0,753800092513745
7,6, 0,753800092513745
7,7, 0,753800092513745
7,8, 0,177854041796464
7,9, 0,177854041796464
8, 0
8,1, 0
8,2, 0
8,3, 0
8,4, 0
8,5, 0
8,6, 0
8,7, 0
8,8, 0
8,9, 0
9, 0
9,1, 0
9,2, 0
9,3, 0
9,4, 0
9,5, 0
9,6, 0
9,7, 0
9,8, 0
9,9, 0
10, 0
10,1, 0
10,2, 0
10,3, 0
10,4, 0
10,5, 0
10,6, 0
10,7, 0
10,8, 0
10,9, 0
11, 0
11,1, 0
11,2, 0
11,3, 0
11,4, 0
11,5, 0
11,6, 0
11,7, 0
11,8, 0
11,9, 0
12, 0
12,1, 0
12,2, 2,41374474185063
12,3, 2,41374474185063
12,4, 2,41374474185063
12,5, 2,41374474185063
12,6, 2,41374474185063
12,7, 2,41374474185063
12,8, 2,41374474185063
12,9, 2,41374474185063
13, 2,41374474185063
13,1, 2,41374474185063
13,2, 2,41374474185063
13,3, 2,75043947576376
13,4, 2,75043947576376
13,5, 2,75043947576376
13,6, 2,75043947576376
13,7, 2,75043947576376
13,8, 2,75043947576376
13,9, 2,75043947576376
14, 2,75043947576376
14,1, 3,95129095262381
14,2, 3,95129095262381
14,3, 2,99167134982623
14,4, 2,99167134982623
14,5, 2,99167134982623
14,6, 2,99167134982623
14,7, 2,99167134982623
14,8, 2,99167134982623
