Pixels, Value
0, 0,0610803858463581
0,1, 0,0610803858463581
0,2, 0,0610803858463581
0,3, 0,0610803858463581
0,4, 0,0610803858463581
0,5, 0,0610803858463581
0,6, 0,0445229271668654
0,7, 0,0445229271668654
0,8, 0,0445229271668654
0,9, 0,0445229271668654
1, 0,0445229271668654
1,1, 0,0445229271668654
1,2, 0,0445229271668654
1,3, 0,0445229271668654
1,4, 0,0445229271668654
1,5, 0,0445229271668654
1,6, 0,0311343601006728
1,7, 0,0311343601006728
1,8, 0,0311343601006728
1,9, 0,0311343601006728
2, 0,0311343601006728
2,1, 0,0311343601006728
2,2, 0,0311343601006728
2,3, 0,0311343601006728
2,4, 0,0311343601006728
2,5, 0,0311343601006728
2,6, 0,0347785854559678
2,7, 0,0347785854559678
2,8, 0,0347785854559678
2,9, 0,0347785854559678
3, 0,0347785854559678
3,1, 0,0347785854559678
3,2, 0,0347785854559678
3,3, 0,0347785854559678
3,4, 0,0347785854559678
3,5, 0,0347785854559678
3,6, 0,0162405695181627
3,7, 0,0162405695181627
3,8, 0,0162405695181627
3,9, 0,0162405695181627
4, 0,0162405695181627
4,1, 0,0162405695181627
4,2, 0,0162405695181627
4,3, 0,0162405695181627
4,4, 0,0162405695181627
4,5, 0,0162405695181627
4,6, 0
4,7, 0
4,8, 0
4,9, 0
5, 0
5,1, 0
5,2, 0
5,3, 0
5,4, 0
5,5, 0
5,6, 0,00800145132358258
5,7, 0,00800145132358258
5,8, 0,00800145132358258
5,9, 0,00800145132358258
6, 0,00800145132358258
6,1, 0,00800145132358258
6,2, 0,00800145132358258
6,3, 0,00800145132358258
6,4, 0,00800145132358258
6,5, 0,00800145132358258
6,6, 0,0211523515187777
6,7, 0,0211523515187777
6,8, 0,0211523515187777
6,9, 0,0211523515187777
7, 0,0211523515187777
7,1, 0,0211523515187777
7,2, 0,0211523515187777
7,3, 0,0211523515187777
7,4, 0,0211523515187777
7,5, 0,0211523515187777
7,6, 0,0522867116194505
7,7, 0,0522867116194505
7,8, 0,0522867116194505
7,9, 0,0522867116194505
8, 0,0522867116194505
8,1, 0,0522867116194505
8,2, 0,0522867116194505
8,3, 0,0522867116194505
8,4, 0,0522867116194505
8,5, 0,0522867116194505
8,6, 0,0549802694907555
8,7, 0,0549802694907555
8,8, 0,0549802694907555
8,9, 0,0549802694907555
9, 0,0549802694907555
9,1, 0,0549802694907555
9,2, 0,0549802694907555
9,3, 0,0549802694907555
9,4, 0,0549802694907555
9,5, 0,0549802694907555
9,6, 0,114476209530464
9,7, 0,114476209530464
9,8, 0,114476209530464
9,9, 0,114476209530464
10, 0,114476209530464
10,1, 0,114476209530464
10,2, 0,114476209530464
10,3, 0,114476209530464
10,4, 0,114476209530464
10,5, 0,114476209530464
10,6, 0,538632351970673
10,7, 0,538632351970673
10,8, 0,538632351970673
10,9, 0,538632351970673
11, 0,538632351970673
11,1, 0,538632351970673
11,2, 0,538632351970673
11,3, 0,538632351970673
11,4, 0,538632351970673
11,5, 0,538632351970673
11,6, 1,33727226081261
11,7, 1,33727226081261
11,8, 1,33727226081261
11,9, 1,33727226081261
12, 1,33727226081261
12,1, 1,33727226081261
12,2, 1,33727226081261
12,3, 1,33727226081261
12,4, 1,33727226081261
12,5, 1,33727226081261
12,6, 1,87645916881561
12,7, 1,87645916881561
12,8, 1,87645916881561
12,9, 1,87645916881561
13, 1,87645916881561
13,1, 1,87645916881561
13,2, 2,41889419072225
13,3, 2,41889419072225
13,4, 2,41889419072225
13,5, 2,41889419072225
13,6, 2,38443249442761
13,7, 2,38443249442761
13,8, 2,38443249442761
13,9, 2,38443249442761
14, 2,38443249442761
14,1, 2,38443249442761
14,2, 2,38443249442761
14,3, 2,38443249442761
14,4, 2,38443249442761
14,5, 2,38443249442761
14,6, 1,56099600871159
14,7, 1,56099600871159
14,8, 1,56099600871159
14,9, 1,56099600871159
15, 1,56099600871159
15,1, 1,56099600871159
15,2, 1,56099600871159
15,3, 1,56099600871159
15,4, 1,56099600871159
15,5, 1,56099600871159
15,6, 0,591235952751453
15,7, 0,591235952751453
15,8, 0,591235952751453
15,9, 0,591235952751453
16, 0,591235952751453
16,1, 0,591235952751453
16,2, 0,591235952751453
16,3, 0,591235952751453
16,4, 0,591235952751453
16,5, 0,591235952751453
16,6, 0,146719681695791
16,7, 0,146719681695791
16,8, 0,146719681695791
16,9, 0,146719681695791
17, 0,146719681695791
17,1, 0,146719681695791
17,2, 0,146719681695791
17,3, 0,146719681695791
17,4, 0,146719681695791
17,5, 0,146719681695791
17,6, 0,109485205239516
17,7, 0,109485205239516
17,8, 0,109485205239516
17,9, 0,109485205239516
18, 0,109485205239516
18,1, 0,109485205239516
18,2, 0,109485205239516
18,3, 0,109485205239516
18,4, 0,109485205239516
18,5, 0,109485205239516
18,6, 0,412906577212994
18,7, 0,412906577212994
18,8, 0,412906577212994
18,9, 0,412906577212994
19, 0,412906577212994
19,1, 0,412906577212994
19,2, 0,412906577212994
19,3, 0,412906577212994
19,4, 0,412906577212994
19,5, 0,412906577212994
19,6, 1,27809320993423
19,7, 1,27809320993423
19,8, 1,27809320993423
19,9, 1,27809320993423
20, 1,27809320993423
20,1, 1,27809320993423
20,2, 1,27809320993423
20,3, 1,27809320993423
20,4, 1,27809320993423
20,5, 1,27809320993423
20,6, 2,188911881887
20,7, 2,188911881887
20,8, 2,188911881887
20,9, 2,188911881887
