Pixels, Value
0, 0,0616750517331637
0,1, 0,0616750517331637
0,2, 0,0616750517331637
0,3, 0,0616750517331637
0,4, 0,0616750517331637
0,5, 0,0616750517331637
0,6, 0,053435395350823
0,7, 0,053435395350823
0,8, 0,053435395350823
0,9, 0,053435395350823
1, 0,053435395350823
1,1, 0,053435395350823
1,2, 0,053435395350823
1,3, 0,053435395350823
1,4, 0,053435395350823
1,5, 0,053435395350823
1,6, 0,0535169761070838
1,7, 0,0535169761070838
1,8, 0,0535169761070838
1,9, 0,0535169761070838
2, 0,0535169761070838
2,1, 0,0535169761070838
2,2, 0,0535169761070838
2,3, 0,0535169761070838
2,4, 0,0535169761070838
2,5, 0,0535169761070838
2,6, 0,0648567012273348
2,7, 0,0648567012273348
2,8, 0,0648567012273348
2,9, 0,0648567012273348
3, 0,0648567012273348
3,1, 0,0648567012273348
3,2, 0,0648567012273348
3,3, 0,0648567012273348
3,4, 0,0648567012273348
3,5, 0,0648567012273348
3,6, 0,0770938146664546
3,7, 0,0770938146664546
3,8, 0,0770938146664546
3,9, 0,0770938146664546
4, 0,0770938146664546
4,1, 0,0770938146664546
4,2, 0,0770938146664546
4,3, 0,0770938146664546
4,4, 0,0770938146664546
4,5, 0,0770938146664546
4,6, 0,0913704470120944
4,7, 0,0913704470120944
4,8, 0,0913704470120944
4,9, 0,0913704470120944
5, 0,0913704470120944
5,1, 0,0913704470120944
5,2, 0,0913704470120944
5,3, 0,0913704470120944
5,4, 0,0913704470120944
5,5, 0,0913704470120944
5,6, 0,0974074229753935
5,7, 0,0974074229753935
5,8, 0,0974074229753935
5,9, 0,0974074229753935
6, 0,0974074229753935
6,1, 0,0974074229753935
6,2, 0,0974074229753935
6,3, 0,0974074229753935
6,4, 0,0974074229753935
6,5, 0,0974074229753935
6,6, 0,0757885225662818
6,7, 0,0757885225662818
6,8, 0,0757885225662818
6,9, 0,0757885225662818
7, 0,0757885225662818
7,1, 0,0757885225662818
7,2, 0,0757885225662818
7,3, 0,0757885225662818
7,4, 0,0757885225662818
7,5, 0,0757885225662818
7,6, 0,0907993817182688
7,7, 0,0907993817182688
7,8, 0,0907993817182688
7,9, 0,0907993817182688
8, 0,0907993817182688
8,1, 0,0907993817182688
8,2, 0,0907993817182688
8,3, 0,0907993817182688
8,4, 0,0907993817182688
8,5, 0,0907993817182688
8,6, 0,11339725120251
8,7, 0,11339725120251
8,8, 0,11339725120251
8,9, 0,11339725120251
9, 0,11339725120251
9,1, 0,11339725120251
9,2, 0,11339725120251
9,3, 0,11339725120251
9,4, 0,11339725120251
9,5, 0,11339725120251
9,6, 0,249800275670565
9,7, 0,249800275670565
9,8, 0,249800275670565
9,9, 0,249800275670565
10, 0,249800275670565
10,1, 0,249800275670565
10,2, 0,249800275670565
10,3, 0,224999725767282
10,4, 0,224999725767282
10,5, 0,224999725767282
10,6, 1,29501292488392
10,7, 1,29501292488392
10,8, 1,29501292488392
10,9, 1,29501292488392
11, 1,29501292488392
11,1, 1,29501292488392
11,2, 1,29501292488392
11,3, 1,29501292488392
11,4, 1,29501292488392
11,5, 1,29501292488392
11,6, 3,05348612608543
11,7, 3,05348612608543
11,8, 3,05348612608543
11,9, 3,05348612608543
12, 3,05348612608543
12,1, 3,05348612608543
12,2, 3,05348612608543
12,3, 3,05348612608543
12,4, 3,05348612608543
12,5, 3,05348612608543
12,6, 3,90176282968521
12,7, 3,90176282968521
12,8, 3,90176282968521
12,9, 3,90176282968521
13, 3,90176282968521
13,1, 3,90176282968521
13,2, 3,90176282968521
13,3, 3,90176282968521
13,4, 3,90176282968521
13,5, 3,90176282968521
13,6, 3,80696599091016
13,7, 3,80696599091016
13,8, 3,80696599091016
13,9, 3,80696599091016
14, 3,80696599091016
14,1, 3,80696599091016
14,2, 3,80696599091016
14,3, 3,80696599091016
14,4, 3,80696599091016
14,5, 3,80696599091016
14,6, 2,49482110721148
14,7, 2,49482110721148
14,8, 2,49482110721148
14,9, 2,49482110721148
15, 2,49482110721148
15,1, 2,49482110721148
15,2, 2,49482110721148
15,3, 2,49482110721148
15,4, 2,49482110721148
15,5, 2,49482110721148
15,6, 0,68960213267253
15,7, 0,68960213267253
15,8, 0,68960213267253
15,9, 0,68960213267253
16, 0,68960213267253
16,1, 0,68960213267253
16,2, 0,68960213267253
16,3, 0,68960213267253
16,4, 0,68960213267253
16,5, 0,68960213267253
16,6, 0,170095876803765
16,7, 0,170095876803765
16,8, 0,170095876803765
16,9, 0,170095876803765
17, 0,170095876803765
