Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0,651405835114993
2,7, 0,651405835114993
2,8, 0,651405835114993
2,9, 0,651405835114993
3, 0,651405835114993
3,1, 0,651405835114993
3,2, 0,651405835114993
3,3, 0,651405835114993
3,4, 0,651405835114993
3,5, 0,651405835114993
3,6, 1,52199909577737
3,7, 1,52199909577737
3,8, 1,52199909577737
3,9, 1,52199909577737
4, 1,52199909577737
4,1, 1,52199909577737
4,2, 1,52199909577737
4,3, 1,52199909577737
4,4, 1,52199909577737
4,5, 1,52199909577737
4,6, 1,06972698329412
4,7, 1,06972698329412
4,8, 1,06972698329412
4,9, 1,06972698329412
5, 1,06972698329412
5,1, 0,57666844569353
5,2, 0,57666844569353
5,3, 0,57666844569353
5,4, 0,57666844569353
5,5, 0,57666844569353
5,6, 0
5,7, 0
5,8, 0
5,9, 0
6, 0
6,1, 0
6,2, 0
6,3, 0
6,4, 0
6,5, 0
6,6, 0,376040880632401
6,7, 0,376040880632401
6,8, 0,376040880632401
6,9, 0,376040880632401
7, 0,376040880632401
7,1, 0,376040880632401
7,2, 0,376040880632401
7,3, 0,376040880632401
7,4, 0,376040880632401
7,5, 0,376040880632401
7,6, 1,77192346100807
7,7, 1,77192346100807
7,8, 1,77192346100807
7,9, 1,77192346100807
8, 1,77192346100807
8,1, 1,77192346100807
8,2, 1,77192346100807
8,3, 1,77192346100807
8,4, 1,77192346100807
8,5, 1,77192346100807
8,6, 1,24993870182037
8,7, 1,24993870182037
8,8, 1,24993870182037
8,9, 1,24993870182037
9, 1,24993870182037
9,1, 1,24993870182037
9,2, 1,24993870182037
9,3, 1,24993870182037
9,4, 1,24993870182037
9,5, 1,24993870182037
9,6, 0
9,7, 0
9,8, 0
9,9, 0
10, 0
10,1, 0
10,2, 0
10,3, 0
10,4, 0
10,5, 0
10,6, 0,20162346001405
10,7, 0,20162346001405
10,8, 0,20162346001405
10,9, 0,20162346001405
11, 0,20162346001405
11,1, 0,20162346001405
11,2, 0,20162346001405
11,3, 0,20162346001405
11,4, 0,20162346001405
11,5, 0,20162346001405
11,6, 1,46912612736775
11,7, 1,46912612736775
11,8, 1,46912612736775
11,9, 1,46912612736775
12, 1,46912612736775
12,1, 1,46912612736775
12,2, 1,46912612736775
12,3, 1,46912612736775
12,4, 1,46912612736775
12,5, 1,46912612736775
12,6, 1,6434982800337
12,7, 1,6434982800337
12,8, 1,6434982800337
12,9, 1,6434982800337
13, 1,6434982800337
13,1, 1,6434982800337
13,2, 1,6434982800337
13,3, 1,6434982800337
