Pixels, Value
0, 2560
0,1, 2560
0,2, 3136
0,3, 3136
0,4, 3136
0,5, 3136
0,6, 3136
0,7, 3136
0,8, 3136
0,9, 3136
1, 3136
1,1, 3136
1,2, 2944
1,3, 2944
1,4, 2944
1,5, 2944
1,6, 2944
1,7, 2944
1,8, 2944
1,9, 2944
2, 2944
2,1, 2944
2,2, 2688
2,3, 2688
2,4, 2688
2,5, 2688
2,6, 2688
2,7, 2688
2,8, 2688
2,9, 2688
3, 2688
3,1, 2688
3,2, 2880
3,3, 2880
3,4, 2880
3,5, 2880
3,6, 2880
3,7, 2880
3,8, 2880
3,9, 2880
4, 2880
4,1, 2880
4,2, 2624
4,3, 2624
4,4, 2624
4,5, 2624
4,6, 2624
4,7, 2624
4,8, 2624
4,9, 2624
5, 2624
5,1, 2624
5,2, 2816
5,3, 2816
5,4, 2816
5,5, 2816
5,6, 2816
5,7, 2816
5,8, 2816
5,9, 2816
6, 2816
6,1, 2816
6,2, 2496
6,3, 2496
6,4, 2496
6,5, 2496
6,6, 2496
6,7, 2496
6,8, 2496
6,9, 2496
7, 2496
7,1, 2496
7,2, 3136
7,3, 3136
7,4, 3136
7,5, 3136
7,6, 3136
7,7, 3136
7,8, 3136
7,9, 3136
8, 3136
8,1, 3136
8,2, 2752
8,3, 2752
8,4, 2752
8,5, 2752
8,6, 2752
8,7, 2752
8,8, 2752
8,9, 2752
9, 2752
9,1, 2752
9,2, 2752
9,3, 2752
9,4, 2752
9,5, 2752
9,6, 2752
9,7, 2752
9,8, 2752
9,9, 2752
10, 2752
10,1, 2752
10,2, 2688
10,3, 2688
10,4, 2688
10,5, 2688
10,6, 2688
10,7, 2688
10,8, 2688
10,9, 2688
11, 2688
11,1, 2688
11,2, 2880
11,3, 2880
11,4, 2880
11,5, 2880
11,6, 2880
11,7, 2880
11,8, 2880
11,9, 2880
12, 2880
12,1, 2880
12,2, 2560
12,3, 2560
12,4, 2560
12,5, 2560
12,6, 2560
12,7, 2560
12,8, 2560
12,9, 2560
13, 2560
13,1, 2560
13,2, 2688
13,3, 2688
13,4, 2688
13,5, 2688
13,6, 2688
13,7, 2688
13,8, 2688
13,9, 2688
14, 2688
14,1, 2688
14,2, 2816
14,3, 2816
14,4, 2816
14,5, 2816
14,6, 2816
14,7, 2816
14,8, 2816
14,9, 2816
15, 2816
15,1, 2816
15,2, 2880
15,3, 2880
15,4, 2880
15,5, 2880
15,6, 2880
15,7, 2880
15,8, 2880
15,9, 2880
16, 2880
16,1, 2880
16,2, 3392
16,3, 3392
16,4, 3392
16,5, 3392
16,6, 3392
16,7, 3392
16,8, 3392
16,9, 3392
17, 3392
17,1, 3392
17,2, 2560
17,3, 2560
17,4, 2560
17,5, 2560
17,6, 2560
17,7, 2560
17,8, 2560
17,9, 2560
18, 2560
18,1, 2560
18,2, 2816
18,3, 2816
18,4, 2816
18,5, 2816
18,6, 2816
18,7, 2816
18,8, 2816
18,9, 2816
19, 2816
19,1, 2816
19,2, 2688
19,3, 2688
19,4, 2688
19,5, 2688
19,6, 2688
19,7, 2688
19,8, 2688
19,9, 2688
20, 2688
20,1, 2688
20,2, 2816
20,3, 2816
20,4, 2816
20,5, 2816
20,6, 2816
20,7, 2816
20,8, 2816
20,9, 2816
21, 2816
21,1, 2816
21,2, 2368
21,3, 2368
21,4, 2368
21,5, 2368
21,6, 2368
21,7, 2368
21,8, 2368
21,9, 2368
22, 2368
22,1, 2368
22,2, 2688
22,3, 2688
22,4, 2688
22,5, 2688
22,6, 2688
22,7, 2688
22,8, 2688
22,9, 2688
23, 2688
23,1, 2688
23,2, 2944
23,3, 2944
23,4, 2944
23,5, 2944
23,6, 2944
23,7, 2944
23,8, 2944
23,9, 2944
24, 2944
24,1, 2944
24,2, 2752
24,3, 2752
24,4, 2752
24,5, 2752
24,6, 2752
24,7, 2752
24,8, 2752
24,9, 2752
25, 2752
25,1, 2752
25,2, 2944
25,3, 2944
25,4, 2944
25,5, 2944
25,6, 2944
25,7, 2944
25,8, 2944
