Pixels, Value
0, 2816
0,1, 2816
0,2, 2816
0,3, 2816
0,4, 2816
0,5, 2816
0,6, 2816
0,7, 2816
0,8, 2816
0,9, 2944
1, 2944
1,1, 2944
1,2, 2944
1,3, 2944
1,4, 2944
1,5, 2944
1,6, 2944
1,7, 2944
1,8, 2944
1,9, 3008
2, 3008
2,1, 3008
2,2, 3008
2,3, 3008
2,4, 3008
2,5, 3008
2,6, 3008
2,7, 3008
2,8, 3008
2,9, 2880
3, 2880
3,1, 2880
3,2, 2880
3,3, 2880
3,4, 2880
3,5, 2880
3,6, 2880
3,7, 2880
3,8, 2880
3,9, 2688
4, 2688
4,1, 2688
4,2, 2688
4,3, 2688
4,4, 2688
4,5, 2688
4,6, 2688
4,7, 2688
4,8, 2688
4,9, 2880
5, 2880
5,1, 2880
5,2, 2880
5,3, 2880
5,4, 2880
5,5, 2880
5,6, 2880
5,7, 2880
5,8, 2880
5,9, 2944
6, 2944
6,1, 2944
6,2, 2944
6,3, 2944
6,4, 2944
6,5, 2944
6,6, 2944
6,7, 2944
6,8, 2944
6,9, 2944
7, 2944
7,1, 2944
7,2, 2944
7,3, 2944
7,4, 2944
7,5, 2944
7,6, 2944
7,7, 2944
7,8, 2944
7,9, 2880
8, 2880
8,1, 2880
8,2, 2880
8,3, 2880
8,4, 2880
8,5, 2880
8,6, 2880
8,7, 2880
8,8, 2880
8,9, 2880
9, 2880
9,1, 2880
9,2, 2880
9,3, 2880
9,4, 2880
9,5, 2880
9,6, 2880
9,7, 2880
9,8, 2880
9,9, 2624
10, 2624
10,1, 2624
10,2, 2624
10,3, 2624
10,4, 2624
10,5, 2624
10,6, 2624
10,7, 2624
10,8, 2624
10,9, 2752
11, 2752
11,1, 2752
11,2, 2752
11,3, 2752
11,4, 2752
11,5, 2752
11,6, 2752
11,7, 2752
11,8, 2752
11,9, 3072
12, 3072
12,1, 3072
12,2, 3072
12,3, 3072
12,4, 3072
12,5, 3072
12,6, 3072
12,7, 3072
12,8, 3072
12,9, 2944
13, 2944
13,1, 2944
13,2, 2944
13,3, 2944
13,4, 2944
13,5, 2944
13,6, 2944
13,7, 2944
13,8, 2944
13,9, 2944
14, 2944
14,1, 2944
14,2, 2944
14,3, 2944
14,4, 2944
14,5, 2944
14,6, 2944
14,7, 2944
14,8, 2944
14,9, 2752
15, 2752
15,1, 2752
15,2, 2752
15,3, 2752
15,4, 2752
15,5, 2752
15,6, 2752
15,7, 2752
15,8, 2752
15,9, 2944
16, 2944
16,1, 2944
16,2, 2944
16,3, 2944
16,4, 2944
16,5, 2944
16,6, 2944
16,7, 2944
16,8, 2944
16,9, 2880
17, 2880
17,1, 2880
17,2, 2880
17,3, 2880
17,4, 2880
17,5, 2880
17,6, 2880
17,7, 2880
17,8, 2880
17,9, 2752
18, 2752
18,1, 2752
18,2, 2752
18,3, 2752
18,4, 2752
18,5, 2752
18,6, 2752
18,7, 2752
18,8, 2752
18,9, 3008
19, 3008
19,1, 3008
19,2, 3008
19,3, 3008
19,4, 3008
19,5, 3008
19,6, 3008
19,7, 3008
19,8, 3008
19,9, 3328
20, 3328
20,1, 3328
20,2, 3328
20,3, 3328
20,4, 3328
20,5, 3328
20,6, 3328
20,7, 3328
20,8, 3328
20,9, 2880
21, 2880
21,1, 2880
21,2, 2880
21,3, 2880
21,4, 2880
21,5, 2880
21,6, 2880
21,7, 2880
21,8, 2880
21,9, 2688
22, 2688
22,1, 2688
22,2, 2688
22,3, 2688
22,4, 2688
22,5, 2688
22,6, 2688
22,7, 2688
22,8, 2688
22,9, 2752
23, 2752
23,1, 2752
23,2, 2752
23,3, 2752
23,4, 2752
23,5, 2752
23,6, 2752
23,7, 2752
23,8, 2752
23,9, 2752
24, 2752
24,1, 2752
24,2, 2752
24,3, 2752
24,4, 2752
24,5, 2752
24,6, 2752
24,7, 2752
24,8, 2752
24,9, 2816
25, 2816
25,1, 2816
25,2, 2816
25,3, 2816
25,4, 2816
25,5, 2816
25,6, 2816
25,7, 2816
25,8, 2816
25,9, 2816
26, 2816
26,1, 2816
26,2, 2816
26,3, 2816
26,4, 2816
26,5, 2816
26,6, 2816
26,7, 2816
26,8, 2816
26,9, 2880
27, 2880
27,1, 2880
27,2, 2880
27,3, 2880
27,4, 2880
27,5, 2880
27,6, 2880
27,7, 2880
27,8, 2880
27,9, 2560
28, 2560
28,1, 2560
28,2, 2560
28,3, 2560
28,4, 2560
28,5, 2560
28,6, 2560
28,7, 2560
28,8, 2560
28,9, 2944
29, 2944
29,1, 2944
29,2, 2944
29,3, 2944
29,4, 2944
29,5, 2944
29,6, 2944
29,7, 2944
29,8, 2944
29,9, 3072
30, 3072
30,1, 3072
30,2, 3072
30,3, 3072
30,4, 3072
30,5, 3072
30,6, 3072
30,7, 3072
30,8, 3072
30,9, 2688
31, 2688
31,1, 2688
31,2, 2688
31,3, 2688
31,4, 2688
31,5, 2688
31,6, 2688
31,7, 2688
31,8, 2688
31,9, 2688
32, 2688
32,1, 2688
32,2, 2688
32,3, 2688
32,4, 2688
32,5, 2688
32,6, 2688
32,7, 2688
32,8, 2688
32,9, 2816
33, 2816
33,1, 2816
33,2, 2816
33,3, 2816
33,4, 2816
33,5, 2816
33,6, 2816
33,7, 2816
33,8, 2816
33,9, 2880
34, 2880
34,1, 2880
34,2, 2880
34,3, 2880
34,4, 2880
34,5, 2880
34,6, 2880
34,7, 2880
34,8, 2880
34,9, 2688
35, 2688
35,1, 2688
35,2, 2688
35,3, 2688
35,4, 2688
35,5, 2688
35,6, 2688
35,7, 2688
35,8, 2688
35,9, 3008
36, 3008
36,1, 3008
36,2, 3008
36,3, 3008
36,4, 3008
36,5, 3008
36,6, 3008
36,7, 3008
36,8, 3008
36,9, 2816
37, 2816
37,1, 2816
37,2, 2816
37,3, 2816
37,4, 2816
37,5, 2816
37,6, 2816
37,7, 2816
37,8, 2816
37,9, 2752
38, 2752
38,1, 2752
38,2, 2752
38,3, 2752
38,4, 2752
38,5, 2752
38,6, 2752
38,7, 2752
38,8, 2752
38,9, 2688
39, 2688
39,1, 2688
39,2, 2688
39,3, 2688
39,4, 2688
39,5, 2688
39,6, 2688
39,7, 2688
