Pixels, Value
0, 2880
0,1, 2880
0,2, 2880
0,3, 2880
0,4, 2880
0,5, 2880
0,6, 2880
0,7, 2880
0,8, 2880
0,9, 2944
1, 2944
1,1, 2944
1,2, 2944
1,3, 2944
1,4, 2944
1,5, 2944
1,6, 2944
1,7, 2944
1,8, 2944
1,9, 3072
2, 3072
2,1, 3072
2,2, 3072
2,3, 3072
2,4, 3072
2,5, 3072
2,6, 3072
2,7, 3072
2,8, 3072
2,9, 3008
3, 3008
3,1, 3008
3,2, 3008
3,3, 3008
3,4, 3008
3,5, 3008
3,6, 3008
3,7, 3008
3,8, 3008
3,9, 3008
4, 3008
4,1, 3008
4,2, 3008
4,3, 3008
4,4, 3008
4,5, 3008
4,6, 3008
4,7, 3008
4,8, 3008
4,9, 3008
5, 3008
5,1, 3008
5,2, 3008
5,3, 3008
5,4, 3008
5,5, 3008
5,6, 3008
5,7, 3008
5,8, 3008
5,9, 3136
6, 3136
6,1, 3136
6,2, 3136
6,3, 3136
6,4, 3136
6,5, 3136
6,6, 3136
6,7, 3136
6,8, 3136
6,9, 3200
7, 3200
7,1, 3200
7,2, 3200
7,3, 3200
7,4, 3200
7,5, 3200
7,6, 3200
7,7, 3200
7,8, 3200
7,9, 2880
8, 2880
8,1, 2880
8,2, 2880
8,3, 2880
8,4, 2880
8,5, 2880
8,6, 2880
8,7, 2880
8,8, 2880
8,9, 3008
9, 3008
9,1, 3008
9,2, 3008
9,3, 3008
9,4, 3008
9,5, 3008
9,6, 3008
9,7, 3008
9,8, 3008
9,9, 3136
10, 3136
10,1, 3136
10,2, 3136
10,3, 3136
10,4, 3136
10,5, 3136
10,6, 3136
10,7, 3136
10,8, 3136
10,9, 3200
11, 3200
11,1, 3200
11,2, 3200
11,3, 3200
11,4, 3200
11,5, 3200
11,6, 3200
11,7, 3200
11,8, 3200
11,9, 2880
12, 2880
12,1, 2880
12,2, 2880
12,3, 2880
12,4, 2880
12,5, 2880
12,6, 2880
12,7, 2880
12,8, 2880
12,9, 3136
13, 3136
13,1, 3136
13,2, 3136
13,3, 3136
13,4, 3136
13,5, 3136
13,6, 3136
13,7, 3136
13,8, 3136
13,9, 2880
14, 2880
14,1, 2880
14,2, 2880
14,3, 2880
14,4, 2880
14,5, 2880
14,6, 2880
14,7, 2880
14,8, 2880
14,9, 2752
15, 2752
15,1, 2752
15,2, 2752
15,3, 2752
15,4, 2752
15,5, 2752
15,6, 2752
15,7, 2752
15,8, 2752
15,9, 2688
16, 2688
16,1, 2688
16,2, 2688
16,3, 2688
16,4, 2688
16,5, 2688
16,6, 2688
16,7, 2688
16,8, 2688
16,9, 3200
17, 3200
17,1, 3200
17,2, 3200
17,3, 3200
17,4, 3200
17,5, 3200
17,6, 3200
17,7, 3200
17,8, 3200
17,9, 3136
18, 3136
18,1, 3136
18,2, 3136
18,3, 3136
18,4, 3136
18,5, 3136
18,6, 3136
18,7, 3136
18,8, 3136
18,9, 3008
19, 3008
19,1, 3008
19,2, 3008
19,3, 3008
19,4, 3008
19,5, 3008
19,6, 3008
19,7, 3008
19,8, 3008
19,9, 3008
20, 3008
20,1, 3008
20,2, 3008
20,3, 3008
20,4, 3008
20,5, 3008
20,6, 3008
20,7, 3008
20,8, 3008
20,9, 3136
21, 3136
21,1, 3136
21,2, 3136
21,3, 3136
21,4, 3136
21,5, 3136
21,6, 3136
21,7, 3136
21,8, 3136
21,9, 3008
22, 3008
22,1, 3008
22,2, 3008
22,3, 3008
22,4, 3008
22,5, 3008
22,6, 3008
22,7, 3008
22,8, 3008
22,9, 3008
23, 3008
23,1, 3008
23,2, 3008
23,3, 3008
23,4, 3008
23,5, 3008
23,6, 3008
23,7, 3008
23,8, 3008
23,9, 3008
24, 3008
24,1, 3008
24,2, 3008
24,3, 3008
24,4, 3008
24,5, 3008
24,6, 3008
24,7, 3008
24,8, 3008
24,9, 3136
25, 3136
25,1, 3136
25,2, 3136
25,3, 3136
25,4, 3136
25,5, 3136
25,6, 3136
25,7, 3136
25,8, 3136
25,9, 2880
26, 2880
26,1, 2880
26,2, 2880
26,3, 2880
26,4, 2880
26,5, 2880
26,6, 2880
26,7, 2880
26,8, 2880
26,9, 3008
27, 3008
27,1, 3008
27,2, 3008
27,3, 3008
27,4, 3008
27,5, 3008
27,6, 3008
27,7, 3008
27,8, 3008
27,9, 2880
28, 2880
28,1, 2880
28,2, 2880
28,3, 2880
28,4, 2880
28,5, 2880
28,6, 2880
28,7, 2880
28,8, 2880
28,9, 3008
29, 3008
29,1, 3008
29,2, 3008
29,3, 3008
29,4, 3008
29,5, 3008
29,6, 3008
29,7, 3008
29,8, 3008
29,9, 3072
30, 3072
30,1, 3072
30,2, 3072
30,3, 3072
30,4, 3072
30,5, 3072
30,6, 3072
30,7, 3072
30,8, 3072
30,9, 2752
31, 2752
31,1, 2752
31,2, 2752
31,3, 2752
31,4, 2752
31,5, 2752
31,6, 2752
31,7, 2752
31,8, 2752
31,9, 3072
32, 3072
32,1, 3072
32,2, 3072
32,3, 3072
32,4, 3072
32,5, 3072
32,6, 3072
32,7, 3072
32,8, 3072
32,9, 2880
33, 2880
33,1, 2880
33,2, 2880
33,3, 2880
33,4, 2880
33,5, 2880
33,6, 2880
33,7, 2880
33,8, 2880
33,9, 3072
34, 3072
34,1, 3072
34,2, 3072
34,3, 3072
34,4, 3072
34,5, 3072
34,6, 3072
34,7, 3072
34,8, 3072
34,9, 2944
35, 2944
35,1, 2944
35,2, 2944
35,3, 2944
35,4, 2944
35,5, 2944
35,6, 2944
35,7, 2944
35,8, 2944
35,9, 3328
36, 3328
36,1, 3328
36,2, 3328
36,3, 3328
36,4, 3328
36,5, 3328
36,6, 3328
36,7, 3328
36,8, 3328
36,9, 2816
37, 2816
37,1, 2816
37,2, 2816
37,3, 2816
37,4, 2816
37,5, 2816
37,6, 2816
37,7, 2816
37,8, 2816
37,9, 2688
38, 2688
38,1, 2688
38,2, 2688
38,3, 2688
38,4, 2688
38,5, 2688
38,6, 2688
38,7, 2688
38,8, 2688
38,9, 3072
39, 3072
39,1, 3072
39,2, 3072
39,3, 3072
39,4, 3072
39,5, 3072
39,6, 3072
39,7, 3072
39,8, 3072
39,9, 3136
40, 3136
40,1, 3136
40,2, 3136
40,3, 3136
40,4, 3136
40,5, 3136
40,6, 3136
40,7, 3136
40,8, 3136
40,9, 3008
41, 3008
41,1, 3008
41,2, 3008
41,3, 3008
41,4, 3008
41,5, 3008
41,6, 3008
41,7, 3008
41,8, 3008
41,9, 3008
42, 3008
42,1, 3008
42,2, 3008
42,3, 3008
42,4, 3008
42,5, 3008
42,6, 3008
42,7, 3008
42,8, 3008
42,9, 3008
43, 3008
43,1, 3008
43,2, 3008
43,3, 3008
43,4, 3008
43,5, 3008
43,6, 3008
43,7, 3008
43,8, 3008
43,9, 3200
44, 3200
44,1, 3200
44,2, 3200
44,3, 3200
44,4, 3200
44,5, 3200
44,6, 3200
44,7, 3200
44,8, 3200
44,9, 2944
45, 2944
45,1, 2944
45,2, 2944
45,3, 2944
45,4, 2944
45,5, 2944
45,6, 2944
45,7, 2944
45,8, 2944
45,9, 2880
46, 2880
46,1, 2880
46,2, 2880
46,3, 2880
46,4, 2880
46,5, 2880
46,6, 2880
