Pixels, Value
0, 0,00417435388320588
0,1, 0,00417435388320588
0,2, 0,00417435388320588
0,3, 0,00417435388320588
0,4, 0,00417435388320588
0,5, 0,00417435388320588
0,6, 0,00417435388320588
0,7, 0,00404183471231045
0,8, 0,00404183471231045
0,9, 0,00404183471231045
1, 0,00404183471231045
1,1, 0,00404183471231045
1,2, 0,00404183471231045
1,3, 0,00314259748123436
1,4, 0,00314259748123436
1,5, 0,00314259748123436
1,6, 0,00314259748123436
1,7, 0,00314259748123436
1,8, 0,00314259748123436
1,9, 0,00314259748123436
2, 0,00636092020298038
2,1, 0,00636092020298038
2,2, 0,00636092020298038
2,3, 0,00636092020298038
2,4, 0,00636092020298038
2,5, 0,00636092020298038
2,6, 0,00636092020298038
2,7, 0,00636092020298038
2,8, 0,00299114700021101
2,9, 0,00299114700021101
3, 0,00299114700021101
3,1, 0,00299114700021101
3,2, 0,00299114700021101
3,3, 0,00584030917446264
3,4, 0,00584030917446264
3,5, 0,00584030917446264
3,6, 0,00584030917446264
3,7, 0,00584030917446264
3,8, 0,00584030917446264
3,9, 0,00584030917446264
4, 0,00584030917446264
4,1, 0,00584030917446264
4,2, 0,00584030917446264
4,3, 0,00584030917446264
4,4, 0,00537649207632866
4,5, 0,00537649207632866
4,6, 0,00537649207632866
4,7, 0,0088219905196097
4,8, 0,0088219905196097
4,9, 0,0088219905196097
5, 0,0088219905196097
5,1, 0,0088219905196097
5,2, 0,0088219905196097
5,3, 0,0088219905196097
5,4, 0,0088219905196097
5,5, 0,0088219905196097
5,6, 0,0088219905196097
5,7, 0,0088219905196097
5,8, 0,0088219905196097
5,9, 0,00541435469658449
6, 0,00878412789935386
6,1, 0,00878412789935386
6,2, 0,00878412789935386
6,3, 0,00878412789935386
6,4, 0,00878412789935386
6,5, 0,00878412789935386
6,6, 0,00878412789935386
6,7, 0,00878412789935386
6,8, 0,00878412789935386
6,9, 0,00878412789935386
7, 0,00878412789935386
7,1, 0,00878412789935386
7,2, 0,00878412789935386
7,3, 0,00640824847830018
7,4, 0,00559420214279971
7,5, 0,00559420214279971
7,6, 0,00559420214279971
7,7, 0,00559420214279971
7,8, 0,00559420214279971
7,9, 0,00559420214279971
8, 0,00559420214279971
8,1, 0,00559420214279971
8,2, 0,00559420214279971
8,3, 0,00559420214279971
8,4, 0,00559420214279971
8,5, 0,00559420214279971
8,6, 0,00559420214279971
8,7, 0,00357801761417647
8,8, 0,00357801761417647
8,9, 0,0039850407819267
9, 0,0039850407819267
9,1, 0,0039850407819267
9,2, 0,0039850407819267
9,3, 0,0039850407819267
9,4, 0,0039850407819267
9,5, 0,0039850407819267
9,6, 0,0039850407819267
9,7, 0,0039850407819267
9,8, 0,0039850407819267
9,9, 0,0039850407819267
10, 0,00315206313629831
10,1, 0,00315206313629831
10,2, 0,00315206313629831
10,3, 0,00315206313629831
10,4, 0,000388091857622315
10,5, 0,000388091857622315
10,6, 0,000388091857622315
10,7, 0,000388091857622315
