Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 0
3,8, 0
3,9, 0
4, 0
4,1, 0
4,2, 0
4,3, 0
4,4, 0
4,5, 0,00416737766772284
4,6, 0,00420517701164776
4,7, 0,00420517701164776
4,8, 0,00420517701164776
4,9, 0,00420517701164776
5, 0,00420517701164776
5,1, 0,00420517701164776
5,2, 0,00420517701164776
5,3, 0,00420517701164776
5,4, 0,00420517701164776
5,5, 0,00420517701164776
5,6, 0,00420517701164776
5,7, 0,00420517701164776
5,8, 0,00420517701164776
5,9, 0
6, 0
6,1, 0
6,2, 0
6,3, 0
6,4, 0
6,5, 0
6,6, 0
6,7, 0
6,8, 0
6,9, 0
7, 0
7,1, 0
7,2, 0
7,3, 0
7,4, 0
7,5, 0
7,6, 0
7,7, 0
7,8, 0
7,9, 0
8, 0
8,1, 0
8,2, 0
8,3, 0
8,4, 0,00398783078407945
8,5, 0,00398783078407945
8,6, 0,00398783078407945
8,7, 0,00398783078407945
8,8, 0,00398783078407945
8,9, 0,00398783078407945
9, 0,00398783078407945
9,1, 0,00398783078407945
9,2, 0,00398783078407945
9,3, 0,00398783078407945
9,4, 0,00398783078407945
9,5, 0
9,6, 0,0122280877597128
9,7, 0,0122280877597128
9,8, 0,0122280877597128
9,9, 0,0122280877597128
10, 0,0122280877597128
10,1, 0,0122280877597128
10,2, 0,0122280877597128
10,3, 0,0122280877597128
10,4, 0,0122280877597128
10,5, 0,0122280877597128
10,6, 0,0122280877597128
10,7, 0,0122280877597128
10,8, 0,0122280877597128
10,9, 0,0126344307069057
11, 0,0126344307069057
11,1, 0,0126344307069057
11,2, 0,0083442051714269
11,3, 0,0083442051714269
11,4, 0,0083442051714269
11,5, 0,0083442051714269
11,6, 0,0083442051714269
11,7, 0,0083442051714269
11,8, 0,0083442051714269
11,9, 0,0083442051714269
12, 0,0083442051714269
12,1, 0,00530135798547055
12,2, 0,00530135798547055
12,3, 0,00530135798547055
12,4, 0,00530135798547055
12,5, 0,00530135798547055
12,6, 0,00530135798547055
12,7, 0,00530135798547055
12,8, 0,00952543466908077
12,9, 0,00952543466908077
13, 0,00952543466908077
13,1, 0,00952543466908077
13,2, 0,00952543466908077
13,3, 0,00952543466908077
13,4, 0,0133620680774605
13,5, 0,0133620680774605
13,6, 0,0133620680774605
13,7, 0,0133620680774605
13,8, 0,0133620680774605
13,9, 0,0133620680774605
