Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0,00044291960326323
1,7, 0,00044291960326323
1,8, 0,00044291960326323
1,9, 0,00044291960326323
2, 0,00044291960326323
2,1, 0,00044291960326323
2,2, 0,00044291960326323
2,3, 0,00044291960326323
2,4, 0,00044291960326323
2,5, 0,00044291960326323
2,6, 1,80783511536012E-05
2,7, 1,80783511536012E-05
2,8, 1,80783511536012E-05
2,9, 1,80783511536012E-05
3, 1,80783511536012E-05
3,1, 1,80783511536012E-05
3,2, 1,80783511536012E-05
3,3, 1,80783511536012E-05
3,4, 1,80783511536012E-05
3,5, 1,80783511536012E-05
3,6, 0,00384164962014026
3,7, 0,00384164962014026
3,8, 0,00384164962014026
3,9, 0,00384164962014026
4, 0,00384164962014026
4,1, 0,00384164962014026
4,2, 0
4,3, 0
4,4, 0
4,5, 0
4,6, 0,00404051148282988
4,7, 0,00404051148282988
4,8, 0,00404051148282988
4,9, 0,00404051148282988
5, 0,00404051148282988
5,1, 0,00404051148282988
5,2, 0,00404051148282988
5,3, 0,00404051148282988
5,4, 0,00404051148282988
5,5, 0,00404051148282988
5,6, 0,00641781465952844
5,7, 0,00641781465952844
5,8, 0,00641781465952844
5,9, 0,00641781465952844
6, 0,00641781465952844
6,1, 0,00641781465952844
6,2, 0,00641781465952844
6,3, 0,00641781465952844
6,4, 0,00641781465952844
6,5, 0,00641781465952844
6,6, 0,00545966204838757
6,7, 0,00545966204838757
6,8, 0,00545966204838757
6,9, 0,00545966204838757
7, 0,00545966204838757
7,1, 0,00545966204838757
7,2, 0,00545966204838757
7,3, 0,00545966204838757
7,4, 0,00545966204838757
7,5, 0,00545966204838757
7,6, 0,00707767447663489
7,7, 0,00707767447663489
7,8, 0,00707767447663489
7,9, 0,00707767447663489
8, 0,00707767447663489
8,1, 0,00707767447663489
8,2, 0,00707767447663489
8,3, 0,00707767447663489
8,4, 0,00707767447663489
8,5, 0,00707767447663489
8,6, 0,0182591346651373
8,7, 0,0182591346651373
8,8, 0,0182591346651373
8,9, 0,0182591346651373
9, 0,0182591346651373
9,1, 0,0182591346651373
9,2, 0,0182591346651373
9,3, 0,0182591346651373
9,4, 0,0182591346651373
9,5, 0,0182591346651373
9,6, 0,0252644957371577
9,7, 0,0252644957371577
9,8, 0,0252644957371577
9,9, 0,0252644957371577
10, 0,0252644957371577
10,1, 0,0252644957371577
10,2, 0,0252644957371577
10,3, 0,0252644957371577
10,4, 0,0252644957371577
10,5, 0,0252644957371577
10,6, 0,0228329575069984
10,7, 0,0228329575069984
10,8, 0,0228329575069984
10,9, 0,0228329575069984
11, 0,0228329575069984
11,1, 0,0228329575069984
11,2, 0,0228329575069984
11,3, 0,0228329575069984
11,4, 0,0228329575069984
11,5, 0,0228329575069984
11,6, 0,0128446684946337
11,7, 0,0128446684946337
11,8, 0,0128446684946337
11,9, 0,0128446684946337
12, 0,0128446684946337
12,1, 0,0128446684946337
12,2, 0,0128446684946337
12,3, 0,0128446684946337
12,4, 0,0128446684946337
12,5, 0,0128446684946337
12,6, 0,00563140638434679
12,7, 0,00563140638434679
12,8, 0,00563140638434679
12,9, 0,00563140638434679
13, 0,00563140638434679
13,1, 0,00563140638434679
13,2, 0,00563140638434679
13,3, 0,00563140638434679
13,4, 0,00563140638434679
13,5, 0,00563140638434679
13,6, 0,000370606198648825
13,7, 0,000370606198648825
13,8, 0,000370606198648825
13,9, 0,000370606198648825
14, 0,000370606198648825
14,1, 0,000370606198648825
14,2, 0,000370606198648825
14,3, 0,000370606198648825
14,4, 0,000370606198648825
14,5, 0,000370606198648825
14,6, 0
14,7, 0
14,8, 0
14,9, 0
15, 0
15,1, 0
15,2, 0
15,3, 0
15,4, 0
15,5, 0
15,6, 0
15,7, 0
15,8, 0
15,9, 0
16, 0
16,1, 0
16,2, 0
16,3, 0
16,4, 0
16,5, 0
16,6, 0
16,7, 0,00666187240010206
16,8, 0,00666187240010206
16,9, 0,00666187240010206
17, 0,00666187240010206
17,1, 0,00666187240010206
17,2, 0,00666187240010206
17,3, 0,00666187240010206
17,4, 0,00666187240010206
17,5, 0,00666187240010206
17,6, 0,00666187240010206
17,7, 0,0233301121637224
17,8, 0,0233301121637224
17,9, 0,0233301121637224
18, 0,0233301121637224
18,1, 0,0233301121637224
18,2, 0,0233301121637224
18,3, 0,0233301121637224
18,4, 0,0233301121637224
18,5, 0,0233301121637224
18,6, 0,0233301121637224
18,7, 0,026159374119261
18,8, 0,026159374119261
