Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0,00297493040766315
3,5, 0,00297493040766315
3,6, 0,00297493040766315
3,7, 0,00297493040766315
3,8, 0,00297493040766315
3,9, 0,00297493040766315
4, 0,00297493040766315
4,1, 0,00297493040766315
4,2, 0,00297493040766315
4,3, 0,00297493040766315
4,4, 0,00947158528545715
4,5, 0,0126967434844191
4,6, 0,0126967434844191
4,7, 0,0126967434844191
4,8, 0,0126967434844191
4,9, 0,0126967434844191
5, 0,0126967434844191
5,1, 0,0126967434844191
5,2, 0,0126967434844191
5,3, 0,0126967434844191
5,4, 0,0138830085690947
5,5, 0,0138830085690947
5,6, 0,0138830085690947
5,7, 0,0138830085690947
5,8, 0,0138830085690947
5,9, 0,0138830085690947
6, 0,0138830085690947
6,1, 0,0138830085690947
6,2, 0,0138830085690947
6,3, 0,0138830085690947
6,4, 0,0121221463340293
6,5, 0,0121221463340293
6,6, 0,0121221463340293
6,7, 0,0121221463340293
6,8, 0,0121221463340293
6,9, 0,0121221463340293
7, 0,0121221463340293
7,1, 0,0121221463340293
7,2, 0,0121221463340293
7,3, 0,0121221463340293
7,4, 0,00985156082039232
7,5, 0,00985156082039232
7,6, 0,00985156082039232
7,7, 0,00985156082039232
7,8, 0,00985156082039232
7,9, 0,00985156082039232
8, 0,00985156082039232
8,1, 0,00985156082039232
8,2, 0,00985156082039232
8,3, 0,00985156082039232
8,4, 0,00798875392961258
8,5, 0,00798875392961258
8,6, 0,00798875392961258
8,7, 0,00798875392961258
8,8, 0,00798875392961258
8,9, 0,00798875392961258
9, 0,00798875392961258
9,1, 0,00798875392961258
9,2, 0,00798875392961258
9,3, 0,00798875392961258
9,4, 0,00972181307675592
9,5, 0,00972181307675592
9,6, 0,00972181307675592
9,7, 0,00972181307675592
9,8, 0,00972181307675592
9,9, 0,00972181307675592
10, 0,00972181307675592
10,1, 0,00972181307675592
10,2, 0,00972181307675592
10,3, 0,00972181307675592
10,4, 0,0119831308944189
10,5, 0,0119831308944189
10,6, 0,0119831308944189
10,7, 0,0119831308944189
10,8, 0,0119831308944189
10,9, 0,00926769597402852
11, 0,00926769597402852
11,1, 0,00926769597402852
11,2, 0,00926769597402852
11,3, 0,00926769597402852
11,4, 0,00926769597402852
11,5, 0,00952719146130132
11,6, 0,00952719146130132
11,7, 0,00952719146130132
11,8, 0,00952719146130132
11,9, 0,00952719146130132
12, 0,00952719146130132
12,1, 0,00952719146130132
12,2, 0,00952719146130132
12,3, 0,00952719146130132
12,4, 0,00952719146130132
12,5, 0,0100554501318209
