Pixels, Value
0, 0,0070937898290542
0,1, 0,0070937898290542
0,2, 0,0070937898290542
0,3, 0,0070937898290542
0,4, 0,0070937898290542
0,5, 0,0070937898290542
0,6, 0,0070937898290542
0,7, 0,0070937898290542
0,8, 0,0070937898290542
0,9, 0,010676693829008
1, 0,010676693829008
1,1, 0,010676693829008
1,2, 0,010676693829008
1,3, 0,010676693829008
1,4, 0,010676693829008
1,5, 0,010676693829008
1,6, 0,010676693829008
1,7, 0,010676693829008
1,8, 0,010676693829008
1,9, 0,010676693829008
2, 0,0129992798390283
2,1, 0,0129992798390283
2,2, 0,0129992798390283
2,3, 0,0129992798390283
2,4, 0,0129992798390283
2,5, 0,0129992798390283
2,6, 0,0129992798390283
2,7, 0,0129992798390283
2,8, 0,0129992798390283
2,9, 0,0129992798390283
3, 0,0139445183314784
3,1, 0,0139445183314784
3,2, 0,0139445183314784
3,3, 0,0139445183314784
3,4, 0,0139445183314784
3,5, 0,0100555371053979
3,6, 0,0100555371053979
3,7, 0,0100555371053979
3,8, 0,0100555371053979
3,9, 0,0100555371053979
4, 0,00947939173857116
4,1, 0,00947939173857116
4,2, 0,00947939173857116
4,3, 0,00947939173857116
4,4, 0,00947939173857116
4,5, 0,00947939173857116
4,6, 0,00947939173857116
4,7, 0,00947939173857116
4,8, 0,00947939173857116
4,9, 0,00947939173857116
5, 0,0105596643013713
5,1, 0,0105596643013713
5,2, 0,0105596643013713
5,3, 0,0105596643013713
5,4, 0,0105596643013713
5,5, 0,0105596643013713
5,6, 0,0105596643013713
5,7, 0,0105596643013713
5,8, 0,0105596643013713
5,9, 0,0105596643013713
6, 0,0131883275375183
6,1, 0,0131883275375183
6,2, 0,0131883275375183
6,3, 0,0131883275375183
6,4, 0,0131883275375183
6,5, 0,0131883275375183
6,6, 0,0131883275375183
6,7, 0,0131883275375183
6,8, 0,0131883275375183
6,9, 0,0131883275375183
7, 0,0089662622712411
7,1, 0,0089662622712411
7,2, 0,0089662622712411
7,3, 0,0089662622712411
7,4, 0,0089662622712411
7,5, 0,0089662622712411
7,6, 0,0089662622712411
7,7, 0,0089662622712411
7,8, 0,0089662622712411
7,9, 0,0089662622712411
8, 0,0089662622712411
8,1, 0,00705778074362753
8,2, 0,00705778074362753
8,3, 0,00705778074362753
8,4, 0,00705778074362753
8,5, 0,00705778074362753
8,6, 0,00705778074362753
8,7, 0,00705778074362753
8,8, 0,00705778074362753
8,9, 0,00705778074362753
9, 0,00510428785923063
9,1, 0,00894825772852777
9,2, 0,00894825772852777
9,3, 0,00894825772852777
9,4, 0,00894825772852777
9,5, 0,00894825772852777
9,6, 0,00894825772852777
9,7, 0,00894825772852777
9,8, 0,00894825772852777
9,9, 0,00894825772852777
10, 0,00894825772852777
10,1, 0,0101095507335379
10,2, 0,0101095507335379
10,3, 0,0101095507335379
10,4, 0,0101095507335379
10,5, 0,0101095507335379
10,6, 0,0101095507335379
10,7, 0,0101095507335379
10,8, 0,0101095507335379
10,9, 0,0101095507335379
11, 0,0101095507335379
11,1, 0,0128462412259649
11,2, 0,0128462412259649
11,3, 0,0128462412259649
11,4, 0,0128462412259649
11,5, 0,0128462412259649
