Pixels, Value
0, 0,0086803755052959
0,1, 0,0086803755052959
0,2, 0,0086803755052959
0,3, 0,0086803755052959
0,4, 0,0086803755052959
0,5, 0,0086803755052959
0,6, 0,0086803755052959
0,7, 0,0086803755052959
0,8, 0,0086803755052959
0,9, 0,0086803755052959
1, 0,00906280268882099
1,1, 0,00906280268882099
1,2, 0,00906280268882099
1,3, 0,00906280268882099
1,4, 0,00906280268882099
1,5, 0,00906280268882099
1,6, 0,00906280268882099
1,7, 0,00906280268882099
1,8, 0,00906280268882099
1,9, 0,00906280268882099
2, 0,00894013736580351
2,1, 0,00894013736580351
2,2, 0,00894013736580351
2,3, 0,00894013736580351
2,4, 0,00894013736580351
2,5, 0,00894013736580351
2,6, 0,00894013736580351
2,7, 0,00894013736580351
2,8, 0,00894013736580351
2,9, 0,00894013736580351
3, 0,00894013736580351
3,1, 0,0104770617071402
3,2, 0,0104770617071402
3,3, 0,0104770617071402
3,4, 0,0104770617071402
3,5, 0,0104770617071402
3,6, 0,0104770617071402
3,7, 0,0104770617071402
3,8, 0,0104770617071402
3,9, 0,0104770617071402
4, 0,0109893698209191
4,1, 0,011703714937315
4,2, 0,011703714937315
4,3, 0,011703714937315
4,4, 0,011703714937315
4,5, 0,011703714937315
4,6, 0,011703714937315
4,7, 0,011703714937315
4,8, 0,011703714937315
4,9, 0,011703714937315
5, 0,011703714937315
5,1, 0,0127860560227634
5,2, 0,0127860560227634
5,3, 0,0127860560227634
5,4, 0,0127860560227634
5,5, 0,0127860560227634
5,6, 0,0127860560227634
5,7, 0,0127860560227634
5,8, 0,0127860560227634
5,9, 0,0127860560227634
6, 0,0127860560227634
6,1, 0,0131468363845795
6,2, 0,0131468363845795
6,3, 0,0131468363845795
6,4, 0,0131468363845795
6,5, 0,0131468363845795
6,6, 0,0131468363845795
6,7, 0,0131468363845795
6,8, 0,0131468363845795
6,9, 0,0131468363845795
7, 0,0131468363845795
7,1, 0,0119562611905863
7,2, 0,0119562611905863
7,3, 0,0119562611905863
7,4, 0,0119562611905863
7,5, 0,0119562611905863
7,6, 0,0119562611905863
7,7, 0,0119562611905863
7,8, 0,0119562611905863
7,9, 0,0119562611905863
8, 0,0119562611905863
8,1, 0,0133633046016692
8,2, 0,0133633046016692
8,3, 0,0133633046016692
8,4, 0,0133633046016692
8,5, 0,0133633046016692
8,6, 0,0133633046016692
8,7, 0,0133633046016692
8,8, 0,0133633046016692
8,9, 0,0133633046016692
9, 0,0133633046016692
9,1, 0,0163072723540887
9,2, 0,0163072723540887
9,3, 0,0163072723540887
9,4, 0,0163072723540887
9,5, 0,0163072723540887
9,6, 0,0163072723540887
9,7, 0,0163072723540887
9,8, 0,0163072723540887
9,9, 0,0163072723540887
10, 0,0163072723540887
10,1, 0,0184286608815675
10,2, 0,0184286608815675
10,3, 0,0184286608815675
10,4, 0,0184286608815675
10,5, 0,0184286608815675
10,6, 0,0184286608815675
10,7, 0,0184286608815675
10,8, 0,0184286608815675
10,9, 0,0184286608815675
11, 0,0184286608815675
11,1, 0,0196913921479239
11,2, 0,0186234822769482
11,3, 0,0186234822769482
11,4, 0,0186234822769482
11,5, 0,0186234822769482
11,6, 0,0186234822769482
11,7, 0,0186234822769482
11,8, 0,0186234822769482
11,9, 0,0186234822769482
12, 0,0186234822769482
12,1, 0,0186018354552393
12,2, 0,0186018354552393
12,3, 0,0186018354552393
12,4, 0,0186018354552393
12,5, 0,0186018354552393
12,6, 0,0186018354552393
12,7, 0,0186018354552393
12,8, 0,0186018354552393
12,9, 0,0186018354552393
13, 0,0186018354552393
13,1, 0,0196553141117423
13,2, 0,0196553141117423
13,3, 0,0196553141117423
13,4, 0,0196553141117423
13,5, 0,0196553141117423
13,6, 0,0196553141117423
13,7, 0,0196553141117423
13,8, 0,0196553141117423
13,9, 0,0196553141117423
14, 0,0196553141117423
14,1, 0,0196553141117423
14,2, 0,0241867154561528
14,3, 0,0241867154561528
14,4, 0,0241867154561528
14,5, 0,0241867154561528
14,6, 0,0241867154561528
14,7, 0,0241867154561528
14,8, 0,0241867154561528
14,9, 0,0241867154561528
15, 0,0241867154561528
15,1, 0,0241867154561528
15,2, 0,0268925681697737
15,3, 0,0268925681697737
15,4, 0,0268925681697737
15,5, 0,0268925681697737
15,6, 0,0268925681697737
15,7, 0,0268925681697737
15,8, 0,0268925681697737
15,9, 0,0268925681697737
16, 0,0268925681697737
16,1, 0,0268925681697737
16,2, 0,0287830572656902
16,3, 0,0287830572656902
16,4, 0,0287830572656902
16,5, 0,0287830572656902
16,6, 0,0287830572656902
16,7, 0,0287830572656902
16,8, 0,0287830572656902
16,9, 0,0287830572656902
17, 0,0287830572656902
17,1, 0,0287830572656902
17,2, 0,0315682816589107
17,3, 0,0315682816589107
17,4, 0,0315682816589107
17,5, 0,0315682816589107
17,6, 0,0315682816589107
17,7, 0,0315682816589107
17,8, 0,0315682816589107
17,9, 0,0315682816589107
18, 0,0315682816589107
18,1, 0,0315682816589107
18,2, 0,0335309268271904
18,3, 0,0335309268271904
18,4, 0,0335309268271904
18,5, 0,0330474811423568
18,6, 0,0330474811423568
18,7, 0,0330474811423568
18,8, 0,0330474811423568
18,9, 0,0330474811423568
19, 0,0330474811423568
19,1, 0,0330474811423568
19,2, 0,0339133540107155
19,3, 0,0339133540107155
19,4, 0,0339133540107155
19,5, 0,0339133540107155
19,6, 0,0339133540107155
19,7, 0,0339133540107155
19,8, 0,0339133540107155
19,9, 0,0339133540107155
20, 0,0339133540107155
20,1, 0,0339133540107155
20,2, 0,0359192928224131
20,3, 0,0359192928224131
20,4, 0,0359192928224131
20,5, 0,0359192928224131
20,6, 0,0359192928224131
20,7, 0,0359192928224131
20,8, 0,0359192928224131
20,9, 0,0359192928224131
21, 0,0359192928224131
21,1, 0,0359192928224131
21,2, 0,03710265240917
21,3, 0,03710265240917
21,4, 0,03710265240917
21,5, 0,03710265240917
21,6, 0,03710265240917
21,7, 0,03710265240917
21,8, 0,03710265240917
21,9, 0,03710265240917
22, 0,03710265240917
22,1, 0,03710265240917
22,2, 0,0386756547866883
22,3, 0,0386756547866883
22,4, 0,0386756547866883
22,5, 0,0386756547866883
22,6, 0,0386756547866883
22,7, 0,0386756547866883
22,8, 0,0386756547866883
22,9, 0,0386756547866883
23, 0,0386756547866883
23,1, 0,0386756547866883
23,2, 0,0423772612989217
23,3, 0,0423772612989217
23,4, 0,0423772612989217
23,5, 0,0423772612989217
23,6, 0,0423772612989217
23,7, 0,0423772612989217
23,8, 0,0423772612989217
23,9, 0,0423772612989217
24, 0,0423772612989217
24,1, 0,0423772612989217
24,2, 0,0423772612989217
24,3, 0,049030051170811
24,4, 0,049030051170811
24,5, 0,049030051170811
24,6, 0,049030051170811
24,7, 0,049030051170811
24,8, 0,049030051170811
24,9, 0,049030051170811
25, 0,049030051170811
25,1, 0,049030051170811
25,2, 0,049030051170811
25,3, 0,0551200236782671
25,4, 0,0551200236782671
25,5, 0,0551200236782671
25,6, 0,0551200236782671
25,7, 0,0551633173216851
25,8, 0,0551633173216851
25,9, 0,0551633173216851
26, 0,0551633173216851
26,1, 0,0551633173216851
26,2, 0,0551633173216851
26,3, 0,0599905585627848
26,4, 0,0599905585627848
26,5, 0,0599905585627848
26,6, 0,0599905585627848
26,7, 0,0599905585627848
26,8, 0,0599905585627848
