Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 0
3,8, 0
3,9, 0
4, 0
4,1, 0
4,2, 0
4,3, 0
4,4, 0
4,5, 0
4,6, 0
4,7, 0
4,8, 0
4,9, 0
5, 0,000659719732775972
5,1, 0,000659719732775972
5,2, 0,000659719732775972
5,3, 0,000659719732775972
5,4, 0,000659719732775972
5,5, 0,000659719732775972
5,6, 0,000659719732775972
5,7, 0,000659719732775972
5,8, 0,000659719732775972
5,9, 0,000659719732775972
6, 0,00211333948296032
6,1, 0,00211333948296032
6,2, 0,00211333948296032
6,3, 0,00211333948296032
6,4, 0,00211333948296032
6,5, 0,00211333948296032
6,6, 0,00211333948296032
6,7, 0,00211333948296032
6,8, 0,00211333948296032
6,9, 0,00211333948296032
7, 0,00413722544283236
7,1, 0,00413722544283236
7,2, 0,00413722544283236
7,3, 0,00413722544283236
7,4, 0,00413722544283236
7,5, 0,00413722544283236
7,6, 0,00413722544283236
7,7, 0,00413722544283236
7,8, 0,00413722544283236
7,9, 0,00413722544283236
8, 0,00413722544283236
8,1, 0,00603252196326503
8,2, 0,00603252196326503
8,3, 0,00603252196326503
8,4, 0,00603252196326503
8,5, 0,00542311983722621
8,6, 0,00542311983722621
8,7, 0,00542311983722621
8,8, 0,00542311983722621
8,9, 0,00542311983722621
9, 0,00542311983722621
9,1, 0,00983429669451639
9,2, 0,00983429669451639
9,3, 0,00983429669451639
9,4, 0,00983429669451639
9,5, 0,00983429669451639
9,6, 0,00983429669451639
9,7, 0,00983429669451639
9,8, 0,00983429669451639
9,9, 0,00983429669451639
10, 0,00983429669451639
10,1, 0,0139715221373488
10,2, 0,0139715221373488
10,3, 0,0139715221373488
10,4, 0,0139715221373488
10,5, 0,0139715221373488
10,6, 0,0139715221373488
10,7, 0,0139715221373488
10,8, 0,0139715221373488
10,9, 0,0139715221373488
11, 0,0139715221373488
11,1, 0,0139715221373488
11,2, 0,0176111623580026
11,3, 0,0176111623580026
11,4, 0,0176111623580026
11,5, 0,0176111623580026
11,6, 0,0176111623580026
11,7, 0,0176111623580026
11,8, 0,0176111623580026
11,9, 0,0176111623580026
12, 0,0176111623580026
12,1, 0,0176111623580026
12,2, 0,0256675702811397
12,3, 0,0256675702811397
12,4, 0,0260812928254229
12,5, 0,0260812928254229
12,6, 0,0260812928254229
12,7, 0,0260812928254229
12,8, 0,0260812928254229
12,9, 0,0260812928254229
13, 0,0260812928254229
13,1, 0,0260812928254229
13,2, 0,0350042817534776
13,3, 0,0350042817534776
13,4, 0,0350042817534776
13,5, 0,0350042817534776
13,6, 0,0350042817534776
13,7, 0,0350042817534776
13,8, 0,0350042817534776
13,9, 0,0350042817534776
14, 0,0350042817534776
14,1, 0,0350042817534776
14,2, 0,0350042817534776
14,3, 0,0490764391043007
14,4, 0,0490764391043007
14,5, 0,0490764391043007
14,6, 0,0490764391043007
