Pixels, Value
0, 26240
0,1, 25920
0,2, 25920
0,3, 25920
0,4, 25920
0,5, 25920
0,6, 25920
0,7, 25920
0,8, 25920
0,9, 25920
1, 25920
1,1, 25280
1,2, 25280
1,3, 25280
1,4, 25280
1,5, 25280
1,6, 25280
1,7, 25280
1,8, 25280
1,9, 25280
2, 25280
2,1, 26112
2,2, 26112
2,3, 26112
2,4, 26112
2,5, 26112
2,6, 26112
2,7, 26112
2,8, 26112
2,9, 26112
3, 26112
3,1, 25920
3,2, 25920
3,3, 25920
3,4, 25920
3,5, 25920
3,6, 25920
3,7, 25920
3,8, 25920
3,9, 25920
4, 25920
4,1, 25472
4,2, 25472
4,3, 25472
4,4, 25472
4,5, 25472
4,6, 25472
4,7, 25472
4,8, 25472
4,9, 25472
5, 25472
5,1, 26304
5,2, 26304
5,3, 26304
5,4, 26304
5,5, 26304
5,6, 26304
5,7, 26304
5,8, 26304
5,9, 26304
6, 26304
6,1, 25728
6,2, 25728
6,3, 25728
6,4, 25728
6,5, 25728
6,6, 25728
6,7, 25728
6,8, 25728
6,9, 25728
7, 25728
7,1, 25536
7,2, 25536
7,3, 25536
7,4, 25536
7,5, 25536
7,6, 25536
7,7, 25536
7,8, 25536
7,9, 25536
8, 25536
8,1, 25536
8,2, 25536
8,3, 25536
8,4, 25536
8,5, 25536
8,6, 25536
8,7, 25536
8,8, 25536
8,9, 25536
9, 25536
9,1, 25600
9,2, 25600
9,3, 25600
9,4, 25600
9,5, 25600
9,6, 25600
9,7, 25600
9,8, 25600
9,9, 25600
10, 25600
10,1, 26304
10,2, 26304
10,3, 26304
10,4, 26304
10,5, 26304
10,6, 26304
10,7, 26304
10,8, 26304
10,9, 26304
11, 26304
11,1, 26112
11,2, 26112
11,3, 26112
11,4, 26112
11,5, 26112
11,6, 26112
11,7, 26112
11,8, 26112
11,9, 26112
12, 26112
12,1, 25600
12,2, 25600
12,3, 25600
12,4, 25600
12,5, 25600
12,6, 25600
12,7, 25600
12,8, 25600
12,9, 25600
13, 25600
13,1, 26112
13,2, 26112
13,3, 26112
13,4, 26112
13,5, 26112
13,6, 26112
13,7, 26112
13,8, 26112
13,9, 26112
14, 26112
14,1, 25856
14,2, 25856
14,3, 25856
14,4, 25856
14,5, 25856
14,6, 25856
14,7, 25856
14,8, 25856
14,9, 25856
15, 25856
15,1, 25536
15,2, 25536
15,3, 25536
15,4, 25536
15,5, 25536
15,6, 25536
15,7, 25536
15,8, 25536
15,9, 25536
16, 25536
16,1, 25472
16,2, 25472
16,3, 25472
16,4, 25472
16,5, 25472
16,6, 25472
16,7, 25472
16,8, 25472
16,9, 25472
