Pixels, Value
0, 0,183565987462264
0,1, 0,183565987462264
0,2, 0,183565987462264
0,3, 0,183565987462264
0,4, 0,183565987462264
0,5, 0,183565987462264
0,6, 0,171608849143982
0,7, 0,171608849143982
0,8, 0,171608849143982
0,9, 0,171608849143982
1, 0,171608849143982
1,1, 0,171608849143982
1,2, 0,171608849143982
1,3, 0,171608849143982
1,4, 0,171608849143982
1,5, 0,171608849143982
1,6, 0,15506016971148
1,7, 0,15506016971148
1,8, 0,15506016971148
1,9, 0,15506016971148
2, 0,15506016971148
2,1, 0,15506016971148
2,2, 0,15506016971148
2,3, 0,15506016971148
2,4, 0,15506016971148
2,5, 0,15506016971148
2,6, 0,118614812117357
2,7, 0,118614812117357
2,8, 0,118614812117357
2,9, 0,118614812117357
3, 0,118614812117357
3,1, 0,118614812117357
3,2, 0,118614812117357
3,3, 0,118614812117357
3,4, 0,118614812117357
3,5, 0,118614812117357
3,6, 0,123302010338123
3,7, 0,123302010338123
3,8, 0,123302010338123
3,9, 0,123302010338123
4, 0,123302010338123
4,1, 0,123302010338123
4,2, 0,123302010338123
4,3, 0,123302010338123
4,4, 0,123302010338123
4,5, 0,123302010338123
4,6, 0,137841890533154
4,7, 0,137841890533154
4,8, 0,137841890533154
4,9, 0,137841890533154
5, 0,137841890533154
5,1, 0,137841890533154
5,2, 0,137841890533154
5,3, 0,137841890533154
5,4, 0,137841890533154
5,5, 0,137841890533154
5,6, 0,147981543827057
5,7, 0,147981543827057
5,8, 0,147981543827057
5,9, 0,147981543827057
6, 0,147981543827057
6,1, 0,147981543827057
6,2, 0,147981543827057
6,3, 0,147981543827057
6,4, 0,147981543827057
6,5, 0,147981543827057
6,6, 0,159843025038793
6,7, 0,159843025038793
6,8, 0,159843025038793
6,9, 0,159843025038793
7, 0,159843025038793
7,1, 0,159843025038793
7,2, 0,159843025038793
7,3, 0,159843025038793
7,4, 0,159843025038793
7,5, 0,159843025038793
7,6, 0,168165193308317
7,7, 0,168165193308317
7,8, 0,168165193308317
7,9, 0,168165193308317
8, 0,168165193308317
8,1, 0,168165193308317
8,2, 0,168165193308317
8,3, 0,168165193308317
8,4, 0,168165193308317
8,5, 0,168165193308317
8,6, 0,151807828088907
8,7, 0,151807828088907
8,8, 0,151807828088907
8,9, 0,151807828088907
9, 0,151807828088907
9,1, 0,151807828088907
9,2, 0,151807828088907
9,3, 0,172852391529083
9,4, 0,172852391529083
9,5, 0,172852391529083
9,6, 0,291945489179171
9,7, 0,291945489179171
9,8, 0,291945489179171
9,9, 0,291945489179171
10, 0,291945489179171
10,1, 0,291945489179171
10,2, 0,291945489179171
10,3, 0,291945489179171
10,4, 0,291945489179171
10,5, 0,291945489179171
10,6, 1,49645977480962
10,7, 1,49645977480962
10,8, 1,49645977480962
10,9, 1,49645977480962
11, 1,49645977480962
11,1, 1,49645977480962
11,2, 1,49645977480962
11,3, 1,49645977480962
11,4, 1,49645977480962
11,5, 1,49645977480962
11,6, 2,71809668251184
11,7, 2,71809668251184
11,8, 2,71809668251184
11,9, 2,71809668251184
12, 2,71809668251184
12,1, 2,71809668251184
12,2, 2,71809668251184
12,3, 2,71809668251184
12,4, 2,71809668251184
12,5, 2,71809668251184
12,6, 3,29500469209231
12,7, 3,29500469209231
12,8, 3,29500469209231
12,9, 3,29500469209231
13, 3,29500469209231
13,1, 3,29500469209231
13,2, 3,29500469209231
13,3, 3,29500469209231
13,4, 3,29500469209231
13,5, 3,29500469209231
13,6, 2,90539329712941
13,7, 2,90539329712941
13,8, 2,90539329712941
13,9, 2,90539329712941
14, 2,90539329712941
14,1, 2,90539329712941
14,2, 2,90539329712941
14,3, 2,90539329712941
14,4, 2,90539329712941
14,5, 2,90539329712941
14,6, 1,5812119712096
14,7, 1,5812119712096
14,8, 1,5812119712096
14,9, 1,5812119712096
15, 1,5812119712096
15,1, 1,5812119712096
15,2, 1,5812119712096
15,3, 1,5812119712096
15,4, 1,5812119712096
15,5, 1,5812119712096
15,6, 0,392481108159285
15,7, 0,392481108159285
15,8, 0,392481108159285
15,9, 0,392481108159285
16, 0,392481108159285
16,1, 0,392481108159285
16,2, 0,392481108159285
16,3, 0,392481108159285
16,4, 0,392481108159285
16,5, 0,392481108159285
16,6, 0,169695707013057
16,7, 0,169695707013057
16,8, 0,169695707013057
16,9, 0,169695707013057
17, 0,169695707013057
17,1, 0,169695707013057
17,2, 0,169695707013057
17,3, 0,169695707013057
17,4, 0,169695707013057
17,5, 0,169695707013057
17,6, 0,207001978566096
17,7, 0,207001978566096
17,8, 0,207001978566096
17,9, 0,207001978566096
18, 0,207001978566096
18,1, 0,207001978566096
18,2, 0,207001978566096
18,3, 0,207001978566096
18,4, 0,207001978566096
18,5, 0,207001978566096
18,6, 1,16242515875009
18,7, 1,16242515875009
18,8, 1,16242515875009
18,9, 1,16242515875009
19, 1,16242515875009
19,1, 1,16242515875009
19,2, 1,16242515875009
19,3, 1,16242515875009
19,4, 1,16242515875009
19,5, 1,16242515875009
19,6, 2,49971150826674
19,7, 2,49971150826674
19,8, 2,49971150826674
19,9, 2,49971150826674
20, 2,49971150826674
20,1, 2,49971150826674
20,2, 2,49971150826674
20,3, 2,49971150826674
20,4, 2,49971150826674
20,5, 2,49971150826674
20,6, 3,19532998707111
20,7, 3,19532998707111
20,8, 3,19532998707111
20,9, 3,19532998707111
21, 3,19532998707111
21,1, 3,19532998707111
21,2, 3,19532998707111
21,3, 3,19532998707111
21,4, 3,19532998707111
21,5, 3,19532998707111
21,6, 2,97024881536777
21,7, 2,97024881536777
21,8, 2,97024881536777
21,9, 2,97024881536777
22, 2,97024881536777
22,1, 2,97024881536777
22,2, 2,97024881536777
22,3, 2,97024881536777
22,4, 2,97024881536777
22,5, 2,97024881536777
22,6, 2,01539957782305
22,7, 2,01539957782305
22,8, 2,01539957782305
22,9, 2,01539957782305
23, 2,01539957782305
23,1, 2,01539957782305
23,2, 2,25702942895889
23,3, 2,25702942895889
23,4, 2,25702942895889
23,5, 2,25702942895889
23,6, 0,828486199797117
23,7, 0,828486199797117
23,8, 0,828486199797117
23,9, 0,828486199797117
24, 0,828486199797117
24,1, 0,828486199797117
24,2, 0,828486199797117
24,3, 0,828486199797117
24,4, 0,828486199797117
24,5, 0,828486199797117
24,6, 0,314807537643726
24,7, 0,314807537643726
24,8, 0,314807537643726
24,9, 0,314807537643726
25, 0,314807537643726
25,1, 0,314807537643726
25,2, 0,314807537643726
25,3, 0,314807537643726
25,4, 0,314807537643726
25,5, 0,314807537643726
25,6, 0,383202368824299
25,7, 0,383202368824299
25,8, 0,383202368824299
25,9, 0,383202368824299
26, 0,383202368824299
26,1, 0,383202368824299
26,2, 0,383202368824299
26,3, 0,383202368824299
26,4, 0,383202368824299
26,5, 0,383202368824299
26,6, 1,07949044737449
26,7, 1,07949044737449
26,8, 1,07949044737449
26,9, 1,07949044737449
27, 1,07949044737449
27,1, 1,07949044737449
27,2, 1,07949044737449
27,3, 1,07949044737449
27,4, 1,07949044737449
27,5, 1,07949044737449
27,6, 2,35029510784149
27,7, 2,35029510784149
27,8, 2,22058407136477
27,9, 2,22058407136477
28, 2,22058407136477
28,1, 2,22058407136477
28,2, 2,22058407136477
28,3, 2,22058407136477
28,4, 2,22058407136477
28,5, 2,22058407136477
28,6, 3,05605323993976
28,7, 3,05605323993976
28,8, 3,05605323993976
28,9, 3,05605323993976
29, 3,05605323993976
29,1, 3,05605323993976
29,2, 3,05605323993976
29,3, 3,05605323993976
29,4, 3,05605323993976
29,5, 3,05605323993976
29,6, 3,14013583659392
29,7, 3,14013583659392
29,8, 3,14013583659392
29,9, 3,14013583659392
30, 3,14013583659392
30,1, 3,14013583659392
30,2, 3,14013583659392
30,3, 3,14013583659392
30,4, 3,14013583659392
30,5, 3,14013583659392
30,6, 2,36072173245503
30,7, 2,36072173245503
30,8, 2,36072173245503
30,9, 2,36072173245503
31, 2,36072173245503
31,1, 2,36072173245503
31,2, 2,36072173245503
31,3, 2,36072173245503
31,4, 2,36072173245503
31,5, 2,36072173245503
31,6, 0,907403312697777
31,7, 0,907403312697777
31,8, 0,907403312697777
31,9, 0,907403312697777
32, 0,907403312697777
32,1, 0,907403312697777
32,2, 0,907403312697777
32,3, 0,907403312697777
32,4, 0,907403312697777
32,5, 0,907403312697777
32,6, 0,26516149934622
32,7, 0,26516149934622
32,8, 0,26516149934622
32,9, 0,26516149934622
33, 0,26516149934622
33,1, 0,26516149934622
33,2, 0,26516149934622
33,3, 0,26516149934622
33,4, 0,26516149934622
33,5, 0,26516149934622
33,6, 0,258656816101074
33,7, 0,258656816101074
33,8, 0,258656816101074
33,9, 0,258656816101074
34, 0,258656816101074
34,1, 0,258656816101074
34,2, 0,258656816101074
34,3, 0,258656816101074
34,4, 0,258656816101074
34,5, 0,258656816101074
34,6, 0,197244953698378
34,7, 0,197244953698378
34,8, 0,197244953698378
34,9, 0,197244953698378
35, 0,197244953698378
35,1, 0,197244953698378
35,2, 0,197244953698378
35,3, 0,197244953698378
35,4, 0,197244953698378
35,5, 0,197244953698378
35,6, 0,182992044822986
35,7, 0,182992044822986
35,8, 0,182992044822986
35,9, 0,182992044822986
36, 0,182992044822986
36,1, 0,182992044822986
36,2, 0,182992044822986
36,3, 0,182992044822986
36,4, 0,182992044822986
36,5, 0,182992044822986
36,6, 0,175913418938563
36,7, 0,175913418938563
36,8, 0,175913418938563
36,9, 0,175913418938563
37, 0,175913418938563
37,1, 0,175913418938563
37,2, 0,175913418938563
37,3, 0,175913418938563
37,4, 0,175913418938563
37,5, 0,175913418938563
37,6, 0,142816060073559
37,7, 0,142816060073559
37,8, 0,142816060073559
37,9, 0,142816060073559
38, 0,142816060073559
38,1, 0,142816060073559
38,2, 0,142816060073559
38,3, 0,142816060073559
38,4, 0,142816060073559
38,5, 0,142816060073559
38,6, 0,120336640035189
38,7, 0,120336640035189
38,8, 0,120336640035189
38,9, 0,120336640035189
39, 0,120336640035189
39,1, 0,120336640035189
39,2, 0,120336640035189
39,3, 0,120336640035189
39,4, 0,120336640035189
39,5, 0,120336640035189
39,6, 0,152190456515092
39,7, 0,152190456515092
39,8, 0,152190456515092
39,9, 0,152190456515092
40, 0,152190456515092
40,1, 0,152190456515092
40,2, 0,152190456515092
40,3, 0,152190456515092
40,4, 0,152190456515092
40,5, 0,152190456515092
40,6, 0,203367008517339
40,7, 0,203367008517339
40,8, 0,203367008517339
40,9, 0,203367008517339
41, 0,203367008517339
41,1, 0,203367008517339
41,2, 0,203367008517339
41,3, 0,203367008517339
41,4, 0,203367008517339
41,5, 0,203367008517339
41,6, 0,200975580853682
41,7, 0,200975580853682
41,8, 0,200975580853682
41,9, 0,200975580853682
42, 0,200975580853682
42,1, 0,200975580853682
42,2, 0,200975580853682
42,3, 0,200975580853682
42,4, 0,200975580853682
42,5, 0,200975580853682
42,6, 0,215037175515982
42,7, 0,215037175515982
42,8, 0,215037175515982
42,9, 0,215037175515982
43, 0,215037175515982
43,1, 0,215037175515982
43,2, 0,215037175515982
43,3, 0,215037175515982
43,4, 0,215037175515982
43,5, 0,215037175515982
43,6, 0,200497295320951
43,7, 0,200497295320951
43,8, 0,200497295320951
43,9, 0,200497295320951
44, 0,200497295320951
44,1, 0,200497295320951
44,2, 0,200497295320951
44,3, 0,200497295320951
44,4, 0,200497295320951
44,5, 0,200497295320951
44,6, 0,209106434910114
44,7, 0,209106434910114
44,8, 0,209106434910114
44,9, 0,209106434910114
45, 0,209106434910114
45,1, 0,209106434910114
