Pixels, Value
0, 0,322803466349382
0,1, 0,322803466349382
0,2, 0,322803466349382
0,3, 0,322803466349382
0,4, 0,322803466349382
0,5, 0,322803466349382
0,6, 0,345973185759324
0,7, 0,345973185759324
0,8, 0,345973185759324
0,9, 0,345973185759324
1, 0,345973185759324
1,1, 0,345973185759324
1,2, 0,345973185759324
1,3, 0,345973185759324
1,4, 0,345973185759324
1,5, 0,345973185759324
1,6, 0,372078435230255
1,7, 0,372078435230255
1,8, 0,372078435230255
1,9, 0,372078435230255
2, 0,372078435230255
2,1, 0,372078435230255
2,2, 0,372078435230255
2,3, 0,372078435230255
2,4, 0,372078435230255
2,5, 0,372078435230255
2,6, 0,618453279634622
2,7, 0,618453279634622
2,8, 0,618453279634622
2,9, 0,618453279634622
3, 0,618453279634622
3,1, 0,618453279634622
3,2, 0,618453279634622
3,3, 0,618453279634622
3,4, 0,618453279634622
3,5, 0,618453279634622
3,6, 2,06608896113909
3,7, 2,06608896113909
3,8, 2,06608896113909
3,9, 2,06608896113909
4, 2,06608896113909
4,1, 2,06608896113909
4,2, 2,06608896113909
4,3, 2,06608896113909
4,4, 2,06608896113909
4,5, 2,06608896113909
4,6, 4,09170954358028
4,7, 4,09170954358028
4,8, 4,09170954358028
4,9, 4,09170954358028
5, 4,09170954358028
5,1, 4,09170954358028
5,2, 4,09170954358028
5,3, 4,09170954358028
5,4, 4,09170954358028
5,5, 4,09170954358028
5,6, 4,60794347287692
5,7, 4,60794347287692
5,8, 4,60794347287692
5,9, 4,60794347287692
6, 4,60794347287692
6,1, 4,60794347287692
6,2, 4,60794347287692
6,3, 4,60794347287692
6,4, 4,60794347287692
6,5, 4,60794347287692
6,6, 4,1382586631188
6,7, 4,1382586631188
6,8, 4,1382586631188
6,9, 4,1382586631188
7, 4,1382586631188
7,1, 4,1382586631188
7,2, 4,1382586631188
7,3, 4,1382586631188
7,4, 4,1382586631188
7,5, 4,1382586631188
7,6, 2,44571590224046
7,7, 2,44571590224046
7,8, 2,44571590224046
7,9, 2,44571590224046
8, 2,44571590224046
8,1, 2,44571590224046
8,2, 2,44571590224046
8,3, 2,44571590224046
8,4, 2,44571590224046
8,5, 2,44571590224046
8,6, 0,74614883728761
8,7, 0,74614883728761
8,8, 0,74614883728761
8,9, 0,74614883728761
9, 0,74614883728761
9,1, 0,74614883728761
9,2, 0,74614883728761
9,3, 0,74614883728761
9,4, 0,74614883728761
9,5, 0,74614883728761
9,6, 0,338424679888212
9,7, 0,338424679888212
9,8, 0,338424679888212
9,9, 0,338424679888212
10, 0,338424679888212
10,1, 0,338424679888212
10,2, 0,338424679888212
10,3, 0,338424679888212
10,4, 0,338424679888212
10,5, 0,338424679888212
10,6, 0,431103557527982
10,7, 0,431103557527982
10,8, 0,431103557527982
10,9, 0,431103557527982
11, 0,431103557527982
11,1, 0,431103557527982
11,2, 0,431103557527982
11,3, 0,431103557527982
11,4, 0,431103557527982
11,5, 0,431103557527982
11,6, 1,2840847209637
11,7, 1,2840847209637
11,8, 1,2840847209637
11,9, 1,2840847209637
12, 1,2840847209637
12,1, 1,2840847209637
12,2, 1,2840847209637
12,3, 1,2840847209637
12,4, 1,2840847209637
12,5, 1,2840847209637
12,6, 3,66836417264205
12,7, 3,66836417264205
12,8, 3,66836417264205
12,9, 3,66836417264205
13, 3,66836417264205
13,1, 3,66836417264205
13,2, 3,66836417264205
13,3, 3,66836417264205
13,4, 3,66836417264205
13,5, 3,66836417264205
13,6, 4,541998886864
13,7, 4,541998886864
13,8, 4,541998886864
13,9, 4,541998886864
14, 4,541998886864
14,1, 4,541998886864
14,2, 4,541998886864
14,3, 4,541998886864
14,4, 4,541998886864
14,5, 4,541998886864
14,6, 4,41545657316355
14,7, 4,41545657316355
14,8, 4,41545657316355
14,9, 4,41545657316355
15, 4,41545657316355
15,1, 4,41545657316355
15,2, 4,41545657316355
15,3, 4,41545657316355
15,4, 4,41545657316355
15,5, 4,41545657316355
15,6, 2,89432779977505
15,7, 2,89432779977505
15,8, 2,89432779977505
15,9, 2,89432779977505
16, 2,89432779977505
16,1, 2,89432779977505
16,2, 2,89432779977505
16,3, 2,89432779977505
16,4, 2,89432779977505
16,5, 2,89432779977505
16,6, 1,10197701682311
16,7, 1,10197701682311
16,8, 1,10197701682311
16,9, 1,10197701682311
17, 1,10197701682311
17,1, 1,10197701682311
17,2, 1,10197701682311
17,3, 1,10197701682311
17,4, 1,10197701682311
17,5, 1,10197701682311
17,6, 0,414433940395942
17,7, 0,414433940395942
17,8, 0,414433940395942
17,9, 0,414433940395942
18, 0,414433940395942
18,1, 0,414433940395942
18,2, 0,414433940395942
18,3, 0,414433940395942
18,4, 0,414433940395942
18,5, 0,414433940395942
18,6, 0,434039087588971
18,7, 0,434039087588971
18,8, 0,434039087588971
18,9, 0,434039087588971
19, 0,434039087588971
19,1, 0,434039087588971
19,2, 0,434039087588971
19,3, 0,434039087588971
19,4, 0,434039087588971
19,5, 0,434039087588971
19,6, 0,935909887658633
19,7, 0,935909887658633
19,8, 0,935909887658633
19,9, 0,935909887658633
20, 0,935909887658633
20,1, 0,935909887658633
20,2, 0,935909887658633
20,3, 0,935909887658633
20,4, 0,935909887658633
20,5, 0,935909887658633
20,6, 2,98836960208599
20,7, 2,98836960208599
20,8, 2,98836960208599
20,9, 2,98836960208599
21, 2,98836960208599
21,1, 2,98836960208599
21,2, 2,98836960208599
21,3, 2,89139226971406
21,4, 2,89139226971406
21,5, 2,89139226971406
21,6, 3,99808710270662
21,7, 3,99808710270662
21,8, 3,99808710270662
21,9, 3,99808710270662
22, 3,99808710270662
22,1, 3,99808710270662
22,2, 3,99808710270662
22,3, 3,99808710270662
22,4, 3,99808710270662
22,5, 3,99808710270662
22,6, 4,20965494781641
22,7, 4,20965494781641
22,8, 4,20965494781641
22,9, 4,20965494781641
23, 4,20965494781641
23,1, 4,20965494781641
23,2, 4,20965494781641
23,3, 4,20965494781641
23,4, 4,20965494781641
23,5, 4,20965494781641
23,6, 3,03607196557705
23,7, 3,03607196557705
23,8, 3,03607196557705
23,9, 3,03607196557705
24, 3,03607196557705
24,1, 3,03607196557705
24,2, 3,03607196557705
24,3, 3,03607196557705
24,4, 3,03607196557705
24,5, 3,03607196557705
24,6, 1,34342436433939
24,7, 1,34342436433939
24,8, 1,34342436433939
24,9, 1,34342436433939
25, 1,34342436433939
25,1, 1,34342436433939
25,2, 1,34342436433939
25,3, 1,34342436433939
25,4, 1,34342436433939
25,5, 1,34342436433939
25,6, 0,442426316334651
25,7, 0,442426316334651
25,8, 0,442426316334651
25,9, 0,442426316334651
26, 0,442426316334651
26,1, 0,442426316334651
26,2, 0,442426316334651
26,3, 0,442426316334651
26,4, 0,442426316334651
26,5, 0,442426316334651
26,6, 0,328150324674753
26,7, 0,328150324674753
26,8, 0,328150324674753
26,9, 0,328150324674753
27, 0,328150324674753
27,1, 0,328150324674753
27,2, 0,328150324674753
27,3, 0,328150324674753
27,4, 0,328150324674753
27,5, 0,328150324674753
27,6, 0,313996876166417
27,7, 0,313996876166417
27,8, 0,313996876166417
27,9, 0,313996876166417
28, 0,313996876166417
28,1, 0,313996876166417
28,2, 0,313996876166417
28,3, 0,313996876166417
28,4, 0,313996876166417
28,5, 0,313996876166417
28,6, 0,301416033047896
28,7, 0,301416033047896
28,8, 0,301416033047896
28,9, 0,301416033047896
29, 0,301416033047896
29,1, 0,301416033047896
29,2, 0,301416033047896
29,3, 0,301416033047896
29,4, 0,301416033047896
29,5, 0,301416033047896
29,6, 0,275415623936286
29,7, 0,275415623936286
29,8, 0,275415623936286
29,9, 0,275415623936286
30, 0,275415623936286
30,1, 0,275415623936286
30,2, 0,275415623936286
30,3, 0,275415623936286
30,4, 0,275415623936286
30,5, 0,275415623936286
30,6, 0,275730145014249
30,7, 0,275730145014249
30,8, 0,275730145014249
30,9, 0,275730145014249
31, 0,275730145014249
31,1, 0,275730145014249
31,2, 0,275730145014249
31,3, 0,275730145014249
31,4, 0,275730145014249
31,5, 0,275730145014249
31,6, 0,275310783576965
31,7, 0,275310783576965
31,8, 0,275310783576965
31,9, 0,275310783576965
32, 0,275310783576965
32,1, 0,275310783576965
32,2, 0,275310783576965
32,3, 0,275310783576965
32,4, 0,275310783576965
32,5, 0,275310783576965
32,6, 0,26744775662789
32,7, 0,26744775662789
32,8, 0,26744775662789
32,9, 0,26744775662789
33, 0,26744775662789
33,1, 0,26744775662789
33,2, 0,26744775662789
33,3, 0,26744775662789
33,4, 0,26744775662789
33,5, 0,26744775662789
33,6, 0,258012124288999
33,7, 0,258012124288999
33,8, 0,258012124288999
33,9, 0,258012124288999
34, 0,258012124288999
34,1, 0,258012124288999
34,2, 0,258012124288999
34,3, 0,258012124288999
34,4, 0,258012124288999
34,5, 0,258012124288999
34,6, 0,245011919733194
34,7, 0,245011919733194
34,8, 0,245011919733194
34,9, 0,245011919733194
35, 0,245011919733194
35,1, 0,245011919733194
35,2, 0,245011919733194
35,3, 0,245011919733194
35,4, 0,245011919733194
35,5, 0,245011919733194
35,6, 0,267971958424495
35,7, 0,267971958424495
35,8, 0,267971958424495
35,9, 0,267971958424495
36, 0,267971958424495
36,1, 0,267971958424495
36,2, 0,267971958424495
36,3, 0,267971958424495
36,4, 0,267971958424495
36,5, 0,267971958424495
36,6, 0,286633542383634
36,7, 0,286633542383634
36,8, 0,286633542383634
36,9, 0,286633542383634
37, 0,286633542383634
37,1, 0,286633542383634
37,2, 0,286633542383634
37,3, 0,286633542383634
37,4, 0,286633542383634
37,5, 0,286633542383634
37,6, 0,287472265258202
37,7, 0,287472265258202
37,8, 0,287472265258202
37,9, 0,287472265258202
38, 0,287472265258202
38,1, 0,287472265258202
38,2, 0,287472265258202
38,3, 0,287472265258202
38,4, 0,287472265258202
38,5, 0,287472265258202
38,6, 0,289569072444622
38,7, 0,289569072444622
38,8, 0,289569072444622
38,9, 0,289569072444622
39, 0,289569072444622
39,1, 0,289569072444622
39,2, 0,289569072444622
39,3, 0,289569072444622
39,4, 0,289569072444622
39,5, 0,289569072444622
39,6, 0,283488331604004
39,7, 0,283488331604004
39,8, 0,283488331604004
39,9, 0,283488331604004
40, 0,283488331604004
40,1, 0,283488331604004
40,2, 0,283488331604004
40,3, 0,283488331604004
40,4, 0,283488331604004
40,5, 0,283488331604004
40,6, 0,290198114600548
40,7, 0,290198114600548
40,8, 0,290198114600548
40,9, 0,290198114600548
41, 0,290198114600548
41,1, 0,290198114600548
41,2, 0,290198114600548
41,3, 0,290198114600548
41,4, 0,290198114600548
41,5, 0,290198114600548
41,6, 0,315884002634195
41,7, 0,315884002634195
41,8, 0,315884002634195
41,9, 0,315884002634195
42, 0,315884002634195
42,1, 0,315884002634195
42,2, 0,315884002634195
42,3, 0,315884002634195
42,4, 0,315884002634195
42,5, 0,315884002634195
42,6, 0,380989865772541
42,7, 0,380989865772541
42,8, 0,380989865772541
42,9, 0,380989865772541
43, 0,380989865772541
43,1, 0,380989865772541
43,2, 0,380989865772541
43,3, 0,380989865772541
43,4, 0,380989865772541
43,5, 0,380989865772541
43,6, 0,721721033565815
43,7, 0,721721033565815
43,8, 0,721721033565815
43,9, 0,721721033565815
44, 0,721721033565815
44,1, 0,721721033565815
44,2, 0,721721033565815
44,3, 0,721721033565815
44,4, 0,721721033565815
44,5, 0,721721033565815
44,6, 2,43596574882361
44,7, 2,43596574882361
44,8, 2,43596574882361
44,9, 2,43596574882361
45, 2,43596574882361
45,1, 2,43596574882361
45,2, 2,43596574882361
45,3, 2,43596574882361
45,4, 2,43596574882361
45,5, 2,43596574882361
45,6, 3,6736061906081
45,7, 3,6736061906081
45,8, 3,6736061906081
45,9, 3,6736061906081
46, 3,6736061906081
46,1, 3,6736061906081
46,2, 3,6736061906081
46,3, 3,6736061906081
46,4, 3,6736061906081
46,5, 3,6736061906081
46,6, 2,95440132566599
46,7, 2,95440132566599
46,8, 2,95440132566599
46,9, 2,95440132566599
47, 2,95440132566599
47,1, 2,95440132566599
47,2, 2,95440132566599
47,3, 2,95440132566599
47,4, 2,95440132566599
47,5, 2,95440132566599
47,6, 1,4482647236604
47,7, 1,4482647236604
47,8, 1,4482647236604
47,9, 1,4482647236604
48, 1,4482647236604
48,1, 1,4482647236604
48,2, 1,4482647236604
48,3, 1,4482647236604
48,4, 1,4482647236604
48,5, 1,4482647236604
48,6, 0,567920226441897
48,7, 0,567920226441897
48,8, 0,567920226441897
48,9, 0,567920226441897
49, 0,567920226441897
49,1, 0,567920226441897
49,2, 0,567920226441897
49,3, 0,567920226441897
49,4, 0,567920226441897
49,5, 0,567920226441897
49,6, 0,982668687915802
49,7, 0,982668687915802
49,8, 0,982668687915802
49,9, 0,982668687915802
50, 0,982668687915802
50,1, 0,982668687915802
50,2, 0,982668687915802
50,3, 0,982668687915802
50,4, 0,982668687915802
50,5, 0,982668687915802
50,6, 2,45515153457935
50,7, 2,45515153457935
50,8, 2,45515153457935
50,9, 2,45515153457935
51, 2,45515153457935
51,1, 2,45515153457935
51,2, 2,45515153457935
51,3, 2,45515153457935
51,4, 2,45515153457935
51,5, 2,45515153457935
51,6, 4,01790193061829
51,7, 4,01790193061829
51,8, 4,01790193061829
51,9, 4,01790193061829
52, 4,01790193061829
52,1, 4,01790193061829
52,2, 4,01790193061829
52,3, 4,01790193061829
52,4, 4,01790193061829
52,5, 4,01790193061829
52,6, 3,31232631238791
52,7, 3,31232631238791
52,8, 3,31232631238791
52,9, 3,31232631238791
53, 3,31232631238791
53,1, 3,31232631238791
53,2, 3,31232631238791
53,3, 3,31232631238791
