Pixels, Value
0, 0,485242517412626
0,1, 0,485242517412626
0,2, 0,485242517412626
0,3, 0,485242517412626
0,4, 0,485242517412626
0,5, 0,485242517412626
0,6, 0,478556348507221
0,7, 0,478556348507221
0,8, 0,478556348507221
0,9, 0,478556348507221
1, 0,478556348507221
1,1, 0,478556348507221
1,2, 0,478556348507221
1,3, 0,478556348507221
1,4, 0,478556348507221
1,5, 0,478556348507221
1,6, 0,476327625538753
1,7, 0,476327625538753
1,8, 0,476327625538753
1,9, 0,476327625538753
2, 0,476327625538753
2,1, 0,476327625538753
2,2, 0,476327625538753
2,3, 0,476327625538753
2,4, 0,476327625538753
2,5, 0,476327625538753
2,6, 0,470260546346811
2,7, 0,470260546346811
2,8, 0,470260546346811
2,9, 0,470260546346811
3, 0,470260546346811
3,1, 0,470260546346811
3,2, 0,470260546346811
3,3, 0,470260546346811
3,4, 0,470260546346811
3,5, 0,470260546346811
3,6, 0,472860723143358
3,7, 0,472860723143358
3,8, 0,472860723143358
3,9, 0,472860723143358
4, 0,472860723143358
4,1, 0,472860723143358
4,2, 0,472860723143358
4,3, 0,472860723143358
4,4, 0,472860723143358
4,5, 0,472860723143358
4,6, 0,470755818117582
4,7, 0,470755818117582
4,8, 0,470755818117582
4,9, 0,470755818117582
5, 0,470755818117582
5,1, 0,470755818117582
5,2, 0,470755818117582
5,3, 0,470755818117582
5,4, 0,470755818117582
5,5, 0,470755818117582
5,6, 0,470012910461426
5,7, 0,470012910461426
5,8, 0,470012910461426
5,9, 0,470012910461426
6, 0,470012910461426
6,1, 0,470012910461426
6,2, 0,470012910461426
6,3, 0,470012910461426
6,4, 0,470012910461426
6,5, 0,470012910461426
6,6, 0,476699079366831
6,7, 0,476699079366831
6,8, 0,476699079366831
6,9, 0,476699079366831
7, 0,476699079366831
7,1, 0,476699079366831
7,2, 0,476699079366831
7,3, 0,476699079366831
7,4, 0,476699079366831
7,5, 0,476699079366831
7,6, 0,482766158558772
7,7, 0,482766158558772
7,8, 0,482766158558772
7,9, 0,482766158558772
8, 0,482766158558772
8,1, 0,482766158558772
8,2, 0,482766158558772
8,3, 0,482766158558772
8,4, 0,482766158558772
8,5, 0,482766158558772
8,6, 0,478308712621836
8,7, 0,478308712621836
8,8, 0,478308712621836
8,9, 0,478308712621836
9, 0,478308712621836
9,1, 0,478308712621836
9,2, 0,478308712621836
9,3, 0,478308712621836
9,4, 0,478308712621836
9,5, 0,478308712621836
9,6, 0,473975084627592
9,7, 0,473975084627592
9,8, 0,473975084627592
9,9, 0,473975084627592
10, 0,473975084627592
10,1, 0,473975084627592
10,2, 0,473975084627592
10,3, 0,473975084627592
10,4, 0,473975084627592
10,5, 0,473975084627592
10,6, 0,472736905200665
10,7, 0,472736905200665
10,8, 0,472736905200665
10,9, 0,472736905200665
11, 0,472736905200665
11,1, 0,472736905200665
11,2, 0,472736905200665
11,3, 0,472736905200665
11,4, 0,472736905200665
11,5, 0,472736905200665
11,6, 0,474717992283748
11,7, 0,474717992283748
11,8, 0,474717992283748
11,9, 0,474717992283748
12, 0,474717992283748
12,1, 0,474717992283748
12,2, 0,474717992283748
12,3, 0,474717992283748
12,4, 0,474717992283748
