Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0,0154781023172232
0,7, 0,0154781023172232
0,8, 0,0154781023172232
0,9, 0,0154781023172232
1, 0,0154781023172232
1,1, 0,0154781023172232
1,2, 0,0154781023172232
1,3, 0,0154781023172232
1,4, 0,0154781023172232
1,5, 0,0154781023172232
1,6, 0,103051575954144
1,7, 0,103051575954144
1,8, 0,103051575954144
1,9, 0,103051575954144
2, 0,103051575954144
2,1, 0,103051575954144
2,2, 0,103051575954144
2,3, 0,103051575954144
2,4, 0,103051575954144
2,5, 0,103051575954144
2,6, 0,848607325465862
2,7, 0,848607325465862
2,8, 0,848607325465862
2,9, 0,848607325465862
3, 0,848607325465862
3,1, 0,848607325465862
3,2, 0,848607325465862
3,3, 0,848607325465862
3,4, 0,848607325465862
3,5, 0,848607325465862
3,6, 2,62435297973339
3,7, 2,62435297973339
3,8, 2,62435297973339
3,9, 2,62435297973339
4, 2,62435297973339
4,1, 2,62435297973339
4,2, 2,62435297973339
4,3, 2,62435297973339
4,4, 2,62435297973339
4,5, 2,62435297973339
4,6, 3,64395260395637
4,7, 3,64395260395637
4,8, 3,64395260395637
4,9, 3,64395260395637
5, 3,64395260395637
5,1, 3,64395260395637
5,2, 3,64395260395637
5,3, 3,64395260395637
5,4, 3,64395260395637
5,5, 3,64395260395637
5,6, 3,59605195046938
5,7, 3,59605195046938
5,8, 3,59605195046938
5,9, 3,59605195046938
6, 3,59605195046938
6,1, 3,59605195046938
6,2, 3,59605195046938
6,3, 3,59605195046938
6,4, 3,59605195046938
6,5, 3,59605195046938
6,6, 2,30534114460578
6,7, 2,30534114460578
6,8, 2,30534114460578
6,9, 2,30534114460578
7, 2,30534114460578
7,1, 2,30534114460578
7,2, 2,30534114460578
7,3, 2,30534114460578
7,4, 2,30534114460578
7,5, 2,30534114460578
7,6, 0,562995605864892
7,7, 0,562995605864892
7,8, 0,562995605864892
7,9, 0,562995605864892
8, 0,562995605864892
8,1, 0,562995605864892
8,2, 0,562995605864892
8,3, 0,562995605864892
8,4, 0,562995605864892
8,5, 0,562995605864892
8,6, 0,0557211683420035
8,7, 0,0557211683420035
8,8, 0,0557211683420035
8,9, 0,0557211683420035
9, 0,0557211683420035
9,1, 0,0557211683420035
9,2, 0,0557211683420035
9,3, 0,0557211683420035
9,4, 0,0557211683420035
9,5, 0,0557211683420035
9,6, 0,032748405955388
9,7, 0,032748405955388
9,8, 0,032748405955388
9,9, 0,032748405955388
10, 0,032748405955388
10,1, 0,032748405955388
10,2, 0,032748405955388
10,3, 0,032748405955388
10,4, 0,032748405955388
10,5, 0,032748405955388
10,6, 0,606008437567491
10,7, 0,606008437567491
10,8, 0,606008437567491
10,9, 0,606008437567491
11, 0,606008437567491
11,1, 0,606008437567491
11,2, 0,606008437567491
11,3, 0,606008437567491
11,4, 0,606008437567491
11,5, 0,606008437567491
11,6, 2,26949711818695
11,7, 2,26949711818695
11,8, 2,26949711818695
11,9, 2,26949711818695
12, 2,26949711818695
12,1, 2,26949711818695
12,2, 2,26949711818695
