Pixels, Value
0, 0
0,1, 0
0,2, 0
0,3, 0
0,4, 0
0,5, 0
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0,0110906483393449
1,7, 0,0110906483393449
1,8, 0,0110906483393449
1,9, 0,0110906483393449
2, 0,0110906483393449
2,1, 0,0110906483393449
2,2, 0,0110906483393449
2,3, 0,0110906483393449
2,4, 0,0110906483393449
2,5, 0,21185401725769
2,6, 0,21185401725769
2,7, 0,21185401725769
2,8, 0,21185401725769
2,9, 0,21185401725769
3, 0,21185401725769
3,1, 0,21185401725769
3,2, 0,21185401725769
3,3, 0,21185401725769
3,4, 0,21185401725769
3,5, 0,21185401725769
3,6, 1,10702777607624
3,7, 1,10702777607624
3,8, 1,10702777607624
3,9, 1,10702777607624
4, 1,10702777607624
4,1, 1,10702777607624
4,2, 1,10702777607624
4,3, 1,10702777607624
4,4, 1,10702777607624
4,5, 2,3354189325516
4,6, 2,3354189325516
4,7, 2,3354189325516
4,8, 2,3354189325516
4,9, 2,3354189325516
5, 2,3354189325516
5,1, 2,3354189325516
5,2, 2,3354189325516
5,3, 2,3354189325516
5,4, 2,3354189325516
5,5, 2,3354189325516
5,6, 0,926906593454801
5,7, 0,926906593454801
5,8, 0,926906593454801
5,9, 0,926906593454801
6, 0,926906593454801
6,1, 0,926906593454801
6,2, 0,926906593454801
6,3, 0,926906593454801
6,4, 0,926906593454801
6,5, 0,202166675442916
6,6, 0,202166675442916
6,7, 0,202166675442916
6,8, 0,202166675442916
6,9, 0,202166675442916
7, 0,202166675442916
7,1, 0,202166675442916
7,2, 0,202166675442916
7,3, 0,202166675442916
7,4, 0,202166675442916
7,5, 0,202166675442916
7,6, 1,1124146624125
7,7, 1,1124146624125
7,8, 1,1124146624125
7,9, 1,1124146624125
8, 1,1124146624125
8,1, 1,1124146624125
8,2, 1,1124146624125
8,3, 1,1124146624125
8,4, 1,1124146624125
8,5, 2,0129753075673
8,6, 2,0129753075673
8,7, 2,0129753075673
8,8, 2,0129753075673
8,9, 2,0129753075673
9, 2,0129753075673
9,1, 2,0129753075673
9,2, 2,0129753075673
9,3, 2,0129753075673
9,4, 2,0129753075673
9,5, 2,0129753075673
9,6, 1,37514985817396
9,7, 1,37514985817396
9,8, 1,37514985817396
9,9, 1,37514985817396
10, 1,37514985817396
10,1, 1,37514985817396
10,2, 1,37514985817396
10,3, 1,37514985817396
10,4, 1,37514985817396
10,5, 0,258842151854588
10,6, 0,258842151854588
10,7, 0,258842151854588
10,8, 0,258842151854588
10,9, 0,258842151854588
11, 0,258842151854588
11,1, 0,258842151854588
11,2, 0,258842151854588
11,3, 0,258842151854588
11,4, 0,258842151854588
