Pixels, Value
0, 0,0209257189824031
0,1, 0,0209257189824031
0,2, 0,0209257189824031
0,3, 0,0209257189824031
0,4, 0,0209257189824031
0,5, 0,0209257189824031
0,6, 0
0,7, 0
0,8, 0
0,9, 0
1, 0
1,1, 0
1,2, 0
1,3, 0
1,4, 0
1,5, 0
1,6, 0
1,7, 0
1,8, 0
1,9, 0
2, 0
2,1, 0
2,2, 0
2,3, 0
2,4, 0
2,5, 0
2,6, 0,0244026667814988
2,7, 0,0244026667814988
2,8, 0,0244026667814988
2,9, 0,0244026667814988
3, 0,0244026667814988
3,1, 0,0244026667814988
3,2, 0,0244026667814988
3,3, 0,0244026667814988
3,4, 0,0244026667814988
3,5, 0,174141938018799
3,6, 0,174141938018799
3,7, 0,174141938018799
3,8, 0,174141938018799
3,9, 0,174141938018799
4, 0,174141938018799
4,1, 0,174141938018799
4,2, 0,174141938018799
4,3, 0,174141938018799
4,4, 0,174141938018799
4,5, 0,174141938018799
4,6, 0,413974497531011
4,7, 0,413974497531011
4,8, 0,413974497531011
4,9, 0,413974497531011
5, 0,413974497531011
5,1, 0,413974497531011
5,2, 0,413974497531011
5,3, 0,413974497531011
5,4, 0,413974497531011
5,5, 0,401712333561824
5,6, 0,401712333561824
5,7, 0,401712333561824
5,8, 0,401712333561824
5,9, 0,401712333561824
6, 0,401712333561824
6,1, 0,401712333561824
6,2, 0,401712333561824
6,3, 0,401712333561824
6,4, 0,401712333561824
6,5, 0,401712333561824
6,6, 0,126201038991488
6,7, 0,126201038991488
6,8, 0,126201038991488
6,9, 0,126201038991488
7, 0,126201038991488
7,1, 0,126201038991488
7,2, 0,126201038991488
7,3, 0,126201038991488
7,4, 0,126201038991488
7,5, 0,0171606263380784
7,6, 0,0171606263380784
7,7, 0,0171606263380784
7,8, 0,0171606263380784
7,9, 0,0171606263380784
8, 0,0171606263380784
8,1, 0,0171606263380784
8,2, 0,0171606263380784
8,3, 0,0171606263380784
8,4, 0,0171606263380784
8,5, 0,0171606263380784
8,6, 0,178169562633221
8,7, 0,178169562633221
8,8, 0,178169562633221
8,9, 0,178169562633221
9, 0,178169562633221
9,1, 0,178169562633221
9,2, 0,178169562633221
9,3, 0,178169562633221
9,4, 0,178169562633221
